ITEM_20150317_000001	$Elmo_vazio 
ITEM_20150317_000176	$Prieblanda 
ITEM_20150317_000177	$Esta espada foi criada por quem inventou a 'Primaluce'. 
ITEM_20150317_000178	$Katzbalger de Pedra Azul 
ITEM_20150317_000179	$A melhoria da Katzbalger foi desenvolvida há menos de 100 anos. Portanto, a fórmula de confecção dessa arma não está relacionada a Ruklys. 
ITEM_20150317_000180	$Espada Grande de Ferreiro 
ITEM_20150317_000181	{memo X}$Desde o Medzio Diena, menos pessoas se preocupam com a instabilidade das armas mágicas. 
ITEM_20150317_000182	$Espada Grande de Klavis 
ITEM_20150317_000183	$Esta espada pode ser uma extensão confiável das suas duas mãos. 
ITEM_20150317_000184	$Espada Grande de Thresh 
ITEM_20150317_000185	$Espada Grande de Sestas 
ITEM_20150317_000186	$Espada Grande de Dratt 
ITEM_20150317_000187	$Espada Grande de Aston 
ITEM_20150317_000188	{memo X}$Espada Grande de Devi 
ITEM_20150317_000189	{memo X}$Espada Grande de Prima 
ITEM_20150317_000190	$Flamini 
ITEM_20150317_000191	$Uma boa espada que tem sido considerada uma necessidade ao enfrentar demônios. 
ITEM_20150317_000192	$Exterminadora de Magos 
ITEM_20150317_000193	$Geralmente, os magos principiantes não se preocupam com esta arma específica. Porém, quem é experiente sabe como se esquivar do seu poder invisível. 
ITEM_20150317_000194	$Espada de Duas Mãos [Corte] 
ITEM_20150317_000195	$Como uma adaga voando após ser arremessada na escuridão da noite, a Naktis acerta inesperadamente seu alvo. 
ITEM_20150317_000196	$Luciduce 
ITEM_20150317_000197	{memo X}$Embora alguns considerem essa arma uma "cortadora de árvores", seus usuários atuais vão afirmar que a Grande Calamidade das Plantas teria sido muito pior sem ela. 
ITEM_20150317_000198	$Inferno e Paraíso 
ITEM_20150317_000199	$Há um ditado que diz que 'o ataque é a melhor defesa'. Demonstre com esta arma. 
ITEM_20150317_000200	$Dente de Tecelã Mortal 
ITEM_20150317_000201	{memo X}$Na verdade, o dente de Tecelã Mortal não foi usado para confeccionar esta arma. 
ITEM_20150317_000202	$Espada Grande de Chaparição 
ITEM_20150317_000203	{memo X}$Às vezes, o grande poder pode ser encontrado no intangível. Às vezes, o etéreo pode dominar o pesado.
ITEM_20150317_000204	$Nulis 
ITEM_20150317_000205	$Concede grande poder contra os seres que não pertencem aos reinos de noite e do dia. 
ITEM_20150317_000206	$Gravidade 
ITEM_20150317_000207	$A gravidade não pode ser evitada por nada. Mas depois de se adaptar a ela, ninguém consegue subestimar o seu poder. 
ITEM_20150317_000208	{memo X}$Bastão Curta Rudimentar 
ITEM_20150317_000209	$Bastão [Golpe] 
ITEM_20150317_000210	$Um bastão que será usado por todos os estudantes de magia. 
ITEM_20150317_000211	$Bastão Curto 
ITEM_20150317_000212	$Geralmente, os magos graduados mudam para esta arma. 
ITEM_20150317_000213	{memo X}$Bastão Longo Inferior 
ITEM_20150317_000214	$Os enfeites de um equipamento de mago são adicionados para ter uma funcionalidade, não como mera decoração. 
ITEM_20150317_000215	{memo X}$Bengala de Nômade Inferior 
ITEM_20150317_000216	$Quando um bastão é cuidadosamente esculpido por um mago famoso, obrigatoriamente tem poder místico. 
ITEM_20150317_000217	$Bengala 
ITEM_20150317_000218	$Você pode personalizar ainda mais esse bastão se conseguir os materiais. 
ITEM_20150317_000219	$Bengala de Pastor 
ITEM_20150317_000220	$Diz a lenda que os magos do mal foram os primeiros a usar esta arma. 
ITEM_20150317_000221	$Bastão de Estanho 
ITEM_20150317_000222	$Já foi uma arma popular entre jovens magos ambiciosos. 
ITEM_20150317_000223	$Bastão de Coruja 
ITEM_20150317_000224	$O enfeite é conhecido entre os magos experientes. 
ITEM_20150317_000225	$Bastão de Runa 
ITEM_20150317_000226	$O poder desse bastão é aumentado pela runa mágica. 
ITEM_20150317_000227	$Bastão de Cristal 
ITEM_20150317_000228	$É necessário um encaixe preciso da joia no eixo para criar esta vara. 
ITEM_20150317_000229	{memo X}$Bastão de Estanho Rudimentar 
ITEM_20150317_000230	{memo X}$Bastão de Coruja Rudimentar 
ITEM_20150317_000231	$Bastão Curto do Soldado 
ITEM_20150317_000232	{memo X}$Esse bastão foi entregue aos magos que se juntaram ao exército. Embora o procedimento tenha sido abolido desde a Grande Calamidade das Plantas, ainda sobrou um estoque abundante. 
ITEM_20150317_000233	$Bastão Curto do Chefe 
ITEM_20150317_000234	$A forma desse bastão era popular no passado. Embora antiquado, funciona muito bem. 
ITEM_20150317_000235	{memo X}$Bengala de Nômade Rudimentar 
ITEM_20150317_000236	$Bastão de Combate 
ITEM_20150317_000237	$Além de ajudar na conjuração de magia, esse bastão também foi criada para o combate físico. 
ITEM_20150317_000238	{memo X}$Bastão Curto Pesada 
ITEM_20150317_000239	$Bastão Longo 
ITEM_20150317_000240	{memo X}$Bastão Longo Pesado 
ITEM_20150317_000241	$Bengala de Nômade 
ITEM_20150317_000242	{memo X}$Bengala Pesada 
ITEM_20150317_000243	{memo X}$Bengala de Pastor Pesada 
ITEM_20150317_000244	{memo X}$Bastão de Estanho Pesado 
ITEM_20150317_000245	$Bengala de Pastor das Trevas 
ITEM_20150317_000246	$Bastão de Cristal das Trevas 
ITEM_20150317_000247	$Bastão Longo das Trevas 
ITEM_20150317_000248	$Bengala de Nômade das Trevas 
ITEM_20150317_000249	$Bengala das Trevas 
ITEM_20150317_000250	$Bastão de Estanho das Trevas 
ITEM_20150317_000251	$Bastão de Serpente 
ITEM_20150317_000252	$Bastão de Transmutação 
ITEM_20150317_000253	$Bastão de Nald 
ITEM_20150317_000254	$Bastão de Ancião 
ITEM_20150317_000255	$Bastão de Meteoro 
ITEM_20150317_000256	$Bastão de Anel 
ITEM_20150317_000257	$Bastão de Servo 
ITEM_20150317_000258	$Bastão de Panto 
ITEM_20150317_000259	{memo X}$Magos descobriram novos fatos de monstros emergentes da Grande Calamidade das Plantas e os aplicaram a diversas situações. 
ITEM_20150317_000260	$Bastão de Gelo 
ITEM_20150317_000261	$Há boatos de que sempre que a fórmula de confecção desse bastão é vendida, parte do dinheiro vai para o Mestre Criomante. 
ITEM_20150317_000262	$Bastão de Fogo 
ITEM_20150317_000263	$Apenas o Mestre Piromante conhece o método de imbuir o poder da Deusa Gabija nesse bastão. 
ITEM_20150317_000264	$Bastão de Vasia 
ITEM_20150317_000265	$Embora os sacerdotes desaprovem a manipulação dos espíritos durante sua confecção, os magos ignoram essa objeção. 
ITEM_20150317_000266	$Bastão Mágico 
ITEM_20150317_000267	$Um bastão simples para melhorar a magia, facilmente confeccionado por magos iniciantes. 
ITEM_20150317_000268	$Bastão de Grinas 
ITEM_20150317_000269	{memo X}$O aumento de demônios após a Grande Calamidade das Plantas elevou o preço desse bastão que já era caro. 
ITEM_20150317_000270	$Bastão de Alquimia 
ITEM_20150317_000271	$Apesar do nome parecido ao de outra arma, esta não tem nenhuma relação direta com a família Witherspoon. 
ITEM_20150317_000272	$Bastão Principal 
ITEM_20150317_000273	$Uma arma que serve aos aspirantes a mago como ponto de partida para a magia avançada . Assim que o mago alcança um ensino superior, esta arma é substituída por outra. 
ITEM_20150317_000274	$Bastão Peçonhento 
ITEM_20150317_000275	$Popular entre magos que gostam de se destacar. 
ITEM_20150317_000276	$Bastão Longo do Aras 
ITEM_20150317_000277	$Frequentemente, é oferecido como um pequeno presente entre magos graças ao seu preço acessível. 
ITEM_20150317_000278	$Bastão de Ferreiro 
ITEM_20150317_000279	{memo X}$Sem dúvida, este equipamento é estranho, independente do usuário.
ITEM_20150317_000280	$Bastão de Klavis 
ITEM_20150317_000281	$Você pode ser o primeiro mago na história a ter usado esta arma. 
ITEM_20150317_000282	$Bastão de Dio 
ITEM_20150317_000283	$Bastão de Thresh 
ITEM_20150317_000284	$Bastão de Sestas 
ITEM_20150317_000285	$Bastão de Dratt 
ITEM_20150317_000286	$Bastão de Aston
ITEM_20150317_000287	{memo X}$Bastão de Devi
ITEM_20150317_000288	{memo X}$Bastão de Prima
ITEM_20150317_000289	$Temere 
ITEM_20150317_000290	$Seu apelido é 'O bastão da paciência'. Diz a lenda que Agailla Flurry, a maior maga da história, criou esse bastão para treinar seus aprendizes. 
ITEM_20150317_000291	$Combustão 
ITEM_20150317_000292	$Embora o Mestre Piromante tenha pesquisado uma maneira de atenuar os inconvenientes instáveis desse bastão, não houve desenvolvimentos até agora. 
ITEM_20150317_000293	$Secretum 
ITEM_20150317_000294	$Uma arma criada somente para magos. Por isso, os magos ignoram os defeitos desse bastão. 
ITEM_20150317_000295	$Bastão de Tecelã Mortal 
ITEM_20150317_000296	{memo X}$Um bastão que possui o poder da Tecelã Mortal. 
ITEM_20150317_000297	$Bastão de Chaparição 
ITEM_20150317_000298	$Zaima
ITEM_20150317_000299	$Há boatos de que o alto valor da fórmula desse bastão se deve à teimosia do Mestre Criomante. 
ITEM_20150317_000300	$Epos 
ITEM_20150317_000301	$Um bastão confeccionado muito tempo atrás com o melhor conhecimento de magia disponível no momento. Por isso, é impossível adicionar algo mais, mesmo com os avanços de magia atuais. 
ITEM_20150317_000302	$Bastão Cintilante 
ITEM_20150317_000303	$Uma estrela cintilante é sempre visível. 
ITEM_20150317_000304	$Arma_vazia_THArco 
ITEM_20150317_000305	{memo X}$Arco Leve Rudimentar 
ITEM_20150317_000306	$Arco [Perfurar] 
ITEM_20150317_000307	$Uma arma simples que pode até ser confeccionada em casa. 
ITEM_20150317_000308	$Arco Leve 
ITEM_20150317_000309	$Um arco bastante trabalhado e usado por pessoas de todo o reino e seus territórios. 
ITEM_20150317_000310	{memo X}$Arco Curto Inferior 
ITEM_20150317_000311	$Um arco para principiantes, embora ainda seja o preferido de alguns arqueiros experientes. 
ITEM_20150317_000312	{memo X}$Arco Longo Rudimentar 
ITEM_20150317_000313	$Às vezes, uma distância pequena pode ser o fator decisivo entre a vida e a morte. Esse arco é uma boa escolha se deseja um alcance maior. 
ITEM_20150317_000314	$Arco Composto 
ITEM_20150317_000315	$Um arco com flexibilidade melhorada por meio do uso de vários materiais. 
ITEM_20150317_000316	$Arco Simples 
ITEM_20150317_000317	$Simboliza a determinação firme de um arqueiro inflexível. 
ITEM_20150317_000318	$Arco de Rokas 
ITEM_20150317_000319	$Supostamente, recebeu o nome do local nativo de seu inventor. 
ITEM_20150317_000320	$Goritos 
ITEM_20150317_000321	$Arco preferido da Cavalaria. 
ITEM_20150317_000322	$Gulai
ITEM_20150317_000323	$O primeiro caso já registrado de uso de magia na confecção de um arco. Desde então, encontrou seu próprio mercado. 
ITEM_20150317_000324	$Kaman 
ITEM_20150317_000325	$Um arco modificado para ser mais potente por arqueiros confiantes na força do seu braço. 
ITEM_20150317_000326	{memo X}$Arco Rokas Rudimentar 
ITEM_20150317_000327	{memo X}$Goritos Rudimentar 
ITEM_20150317_000328	$Arco Leve do Soldado 
ITEM_20150317_000329	$Este arco foi confeccionado para satisfazer as necessidades mínimas do exército. 
ITEM_20150317_000330	$Arco Curto do Prefeito 
ITEM_20150317_000331	$Mostra sinais do esforço dedicado a desatar e atar a corda no arco diariamente. Apesar da idade, o arco está em boas condições. 
ITEM_20150317_000332	{memo X}$Arco Longo Rudimentar 
ITEM_20150317_000333	$Gendawa 
ITEM_20150317_000334	$Este arco é o melhor entre os confeccionados sem uso de magia no processo. 
ITEM_20150317_000335	{memo X}$Arco Leve Pesado 
ITEM_20150317_000336	$Arco Curto 
ITEM_20150317_000337	{memo X}$Arco Curto Pesado 
ITEM_20150317_000338	$Arco Longo 
ITEM_20150317_000339	{memo X}$Arco Composto Pesado 
ITEM_20150317_000340	{memo X}$Arco Simples Pesado 
ITEM_20150317_000341	{memo X}$Arco de Rokas Pesado 
ITEM_20150317_000342	$Arco Simples das Trevas 
ITEM_20150317_000343	$Kaman das Trevas 
ITEM_20150317_000344	$Arco Curto das Trevas 
ITEM_20150317_000345	$Arco Longo das Trevas 
ITEM_20150317_000346	$Arco Composto das Trevas 
ITEM_20150317_000347	$Arco de Rokas das Trevas 
ITEM_20150317_000348	$Arco Recurvo 
ITEM_20150317_000349	$Arco de Cerco 
ITEM_20150317_000350	$Arco de Precisão 
ITEM_20150317_000351	$Arco de Caveira 
ITEM_20150317_000352	$Arco de Madeira com Polias 
ITEM_20150317_000353	{memo X}$Arco Antigo 
ITEM_20150317_000354	$Arco de Ladino 
ITEM_20150317_000355	$Caçador 
ITEM_20150317_000356	{memo X}$Esse arco, popular entre caçadores, se tornou ainda mais difundido após a Grande Calamidade das Plantas. 
ITEM_20150317_000357	$Arco de Ferro 
ITEM_20150317_000358	$Arco de ótima precisão que frequentemente pode causar dano inesperado ao inimigo. 
ITEM_20150317_000359	$Arco de Falcão 
ITEM_20150317_000360	{memo X}$Um arco simples feito com ossos aleatórios, às vezes, não tem correlação com ouro. 
ITEM_20150317_000361	$Arco de Alquimia 
ITEM_20150317_000362	$Tem esse nome por seu efeito de aumentar a agilidade do usuário. 
ITEM_20150317_000363	$Arco de Caça 
ITEM_20150317_000364	$O uso da Alquimia na confecção de arcos permaneceu teórica até que, devido a circunstâncias, tornou-se uma tendência na produção recente. 
ITEM_20150317_000365	$Arco de Criador 
ITEM_20150317_000366	$No passado, apenas caçadores ricos compravam esse arco. Porém, com os eventos terríveis na história recente, qualquer um pode se dar ao luxo de comprá-lo ou confeccioná-lo. 
ITEM_20150317_000367	$Arco Ferino 
ITEM_20150317_000368	{memo X}$Devido ao aumento na procura de arcos de alta qualidade após a Grande Calamidade das Plantas, este arco tem sido confeccionado com muita frequência. 
ITEM_20150317_000369	$Arco de Serpente 
ITEM_20150317_000370	$Esse arco é uma boa escolha, independente da força do braço. Isso se deve ao fato de que se o arqueiro tem um braço forte, pode atirar com mais potência, mas se não tem, o arco compensa a força. 
ITEM_20150317_000371	$Arco Peçonhento  
ITEM_20150317_000372	$Como o nome sugere, os ataques deste arco são venenosos. 
ITEM_20150317_000373	$Arco de Letena  
ITEM_20150317_000374	$É possível sentir a sensação de caçar um monstro enorme com este arco graças ao seu peso sólido. 
ITEM_20150317_000375	$Arco Forte 
ITEM_20150317_000376	$Difícil de confeccionar, mas vale o trabalho. 
ITEM_20150317_000377	$Arco Curto do Aras 
ITEM_20150317_000378	$Geralmente adquirido por novos usuários de arcos mágicos. 
ITEM_20150317_000379	$Arco com Polias 
ITEM_20150317_000380	$Arco de Ferreiro 
ITEM_20150317_000381	{memo X}$Na falta de outro arco para comprar, adquira este e espere o melhor. 
ITEM_20150317_000382	$Arco Klavis  
ITEM_20150317_000383	$Além de ser um arco mágico, geralmente, é considerado medíocre, mas um arqueiro pode usá-lo de forma excepcional. 
ITEM_20150317_000384	$Arco de Dio  
ITEM_20150317_000385	$Arco de Thresh 
ITEM_20150317_000386	$Arco de Sestas  
ITEM_20150317_000387	$Arco de Dratt 
ITEM_20150317_000388	$Arco de Aston  
ITEM_20150317_000389	{memo X}$Arco de Devi  
ITEM_20150317_000390	{memo X}$Arco de Prima 
ITEM_20150317_000391	$Ruína Selvagem 
ITEM_20150317_000392	{memo X}$Os caçadores raramente usavam esse arco antes da Grande Calamidade das Plantas. Pode parecer estranho, mas o arco podia causar grandes danos à presa. 
ITEM_20150317_000393	$Nivelador 
ITEM_20150317_000394	$Há arqueiros orgulhosos que não admitem nenhuma variável que possa afetar sua própria habilidade de tiro com arco. Este arco é ideal para eles. 
ITEM_20150317_000395	$Caçador de Corações 
ITEM_20150317_000396	$Por um motivo desconhecido, o feitiço vinculado a esse arco tornou-se uma maldição para o inimigo e o arqueiro. Mesmo assim, o arco ainda é usado pelos arqueiros devido ao seu valor. 
ITEM_20150317_000397	$Víbora 
ITEM_20150317_000398	$Este arco imbuído com veneno é tão tóxico que também afeta o arqueiro. 
ITEM_20150317_000399	$Arco de Tecelã Mortal 
ITEM_20150317_000400	{memo X}$Esse arco enviará seus inimigos para a morte. 
ITEM_20150317_000401	$Arco de Chaparição 
ITEM_20150317_000402	{memo X}$O entalhe diz: 'Endireite as costas e estenda seus ombros; puxe a corda do arco e empurre o arco conforme dispara'. 
ITEM_20150317_000403	$Sanguinário 
