QUEST_20150317_000001	Por favor, selecione o usuario que precisa de uma atualizacao de quest.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20150317_000022	Essa tarefa divina pode ser um fardo pesado, mas e algo que voce deve suportar. {nl}Talvez no decorrer enlameado de suas provacoes e dificuldades algo venha a surgir.	그대에게 지워진 신성한 사명의 무게가 어깨를 짓누르겠지요.{nl}어쩌면 수 많은 시련과 고난의 진흙탕 속을 뒹굴게 될지도 모릅니다.{nl}				수정광산의 계시
QUEST_20150317_000023	Entretanto, so nos podemos salvar esse mundo.	하지만 당신만이 저와 이 세계를 구할 수 있어요.{nl}				여신 라이마
QUEST_20150317_000024	Eu passei a proxima revelacao ao primeiro Paladino. {nl}Ele espera por voce no mais alto jardim florido.	다음 계시는 초대 팔라딘에게 맡겨 두었습니다.{nl}가장 드높은 화원에서 당신을 기다리겠습니다.				여신 라이마
QUEST_20150317_000025	A aura escura realmente e desagradavel... {nl}Mas se essa mensagem realmente for da Deusa Laima, estou completamente tomado por admiracao.	사악한 힘이나 의지는 전혀 느껴지지 않는군요.{nl}그렇다면 이 계시가 진짜 라이마 여신의.. 그저 놀랍습니다.				보코르 마스터
QUEST_20150317_000026	Bem, voce deveria se apressar e encontrar Sir Uska. {nl}Ele vai dizer para onde voce deve seguir. {nl}Que a deusa abencoe seu destino...	자, 어서 우스카님께 돌아가세요.{nl}그분이라면 당신이 어디로 가야 할지를 알려줄 겁니다.{nl}당신의 앞날에 여신의 축복이 깃들기를..				보코르 마스터
QUEST_20150317_000027	Favor escolher o Gen Inteligente favorito.	원하는 스마트젠을 선택하세요.				선택
QUEST_20150317_000028	William	윌리엄				
QUEST_20150317_000029	A taxa e de 100 pratas. {nl}E mais barato do que cruzar a central de monstros.	이용 요금은 100실버입니다.{nl}몬스터 한복판을 헤쳐가느니 차라리 이게 싸죠.				
QUEST_20150317_000030	Cyneburg	캔버그				
QUEST_20150317_000031	Isso vai custar 100 moedas de prata. {nl}Isso cobrira os custos da operacao, mao de obra e outros gastos.	이용 요금은 100실버입니다.{nl}운영비, 인건비 등 여러 가지가 포함된 금액이지요.				
QUEST_20150317_000032	Ei, espera um pouco. {nl}Voce sabe que precisa mais do que isso...	공짜로는 좀.. 죄송합니다.{nl}아실만한 분이 더 그러시면..				
QUEST_20150317_000033	Isso nao e suficiente! {nl}Nao posso trabalhar de graca, mesmo para um Revelador.	공짜로는 안된다니까요. {nl}아무리 계시자님이라도 되는 게 있고 안 되는 게 있는 법이지요.				
QUEST_20150317_000034	Comerciante Ambulante	방랑 상인				
QUEST_20150317_000035	Como sementes de dente-de-leao, eu meramente sigo o vento. {nl}Ja que nos encontramos de forma tao curiosa, talvez voce possa tirar um instante para ver meus produtos curiosos?	이 가련한 몸, 소개하자면 한 줄기 바람에 이끌려 방랑하는 민들레 홀씨이외다.{nl}이렇게 만난 것도 기이한 인연인데 좋은 물건 한 번 구경해 보시겠소?				방랑 상인
QUEST_20150317_000036	Kristina	크리스티나				
QUEST_20150317_000037	Saudacoes! {nl}Voce procura um companheiro de viagem, certo? {nl}Voce nao encontrara um lugar melhor para buscar um parceiro do que aqui!	어서 오세요.{nl}마음 맞는 친구를 찾으시나 보네요.{nl}여행엔 요 녀석들만큼 좋은 동반자는 찾기 힘들지요.				크리스티나
QUEST_20150317_000038	Voce pode fazer com que seus companheiros observem sua luta, ou pode treinar habilidades especiais. {nl}Conquiste afeto suficiente e voce pode ate comprar uns equipamentos maneiros!	컴패니언에게 당신이 싸우는 것을 옆에서 지켜 보게 하거나 특성 훈련을 시킬 수도 있어요.{nl}좀 더 애정이 가는 컴패니언이라면 멋진 장비를 사줄 수도 있겠지요.{nl}				
QUEST_20150317_000039	Aumentar o efeito de seu companheiro aumentara o vigor de montaria e evasao! {nl}Entao, que tal? Isso e suficiente para te convencer a obter um?	당신의 사랑을 받고 자란 컴패니언은 탑승자의 체력과 회피율을 높여줄 거예요.{nl}어때요. 이만 하면 멋진 당신의 동반자가 아닐까요?				
QUEST_20150317_000040	A caixa requer uma chave correspondente.	상자에 맞는 열쇠가 필요합니다.				
QUEST_20150317_000041	Escolha Quest	퀘스트 선택				
QUEST_20150317_000042	Modificar Estado da Quest	퀘스트 상태변경				퀘스트 상태변경
QUEST_20150317_000043	Forcar inicio?	강제 시작?				강제 시작?
QUEST_20150317_000044	Itens a serem deletados	삭제할 아이템				None
QUEST_20150317_000045	Escolha o Tipo de Gen	GenType 선택				Basic
QUEST_20150317_000046	Escolha Coordenadas	좌표 선택				Basic
QUEST_20150317_000047	Cavaleiro Titas	기사 티타스				
QUEST_20150317_000048	Se sim, va procurar o Cavaleiro Comandante Uska em Klaipeda. {nl}Mas antes, ha algo importante que preciso te contar, entao me siga.	맞다면 클라페다의 기사단장 우스카님을 찾아가게.{nl}하지만 그 전에 긴히 할 얘기가 있으니 따라오게.				기사 티타스
QUEST_20150317_000049	Seria bom se pudesse ter um segundo para relaxar...	잠시 쉴 틈이 있으면 좋겠군.. 				장교 류다스
QUEST_20150317_000050	Sparnas... {nl}nao e alguem que deva ser subestimado...	스파르나스..{nl}만만치 않은 상대..				장교 류다스
QUEST_20150317_000051	Soldado Moody	병사 무디				
QUEST_20150317_000052	Vamos lidar com esse monstro antes de conversar.	우선 이 몬스터를 처리하고 이야기하지요.				병사 무디
QUEST_20150317_000053	Equipe de Investigacao Conjunta - Scott	합동조사단 스캇				
QUEST_20150317_000054	Eu espero ansioso por uma epoca em que nossa equipe nao seja mais necessaria... {nl}Que era pacifica ela seria...	우리 합동조사단이 필요 없어지는 날이 빨리 왔으면 좋겠는데..{nl}아, 평화로운 세상 말이야. 하하..{nl}				합동조사단 스캇
QUEST_20150317_000055	Nao sei por onde comecar. {nl}Voce ficou sabendo de algo?	처음부터 시작하려니 감이 잡히는 게 없네.{nl}혹시 넌 뭐 들은 건 없어?				합동조사단 스캇
QUEST_20150317_000056	Seguindo decreto real, viemos a essa floresta investigar alguns eventos estranhos. {nl}Testemunhas relataram algo com um rosto enorme e dedos ossudos. {nl}Mas que diabos poderia ser?	우린 왕실의 명령으로 이 숲에서 벌어지고 있는 기이한 사건을 조사하러 왔어.{nl}목격자들 말로는 커다란 얼굴과 앙상한 손가락을 보았다는군.{nl}도대체 그게 뭐람?				합동조사단 스캇
QUEST_20150317_000057	No passado, peregrinos viajavam por essa floresta. {nl}Mas agora, devido a presenca de monstros, apenas soldados se reunem aqui.	과거에는 순례자들이 이 숲을 거쳐 가는 일도 있었죠.{nl}하지만 지금은 몬스터 때문에 병사들만 가득하네요.				부관 폴리나
QUEST_20150317_000058	Ate quatro anos atras, as deusas nos abencoavam com sinais de suas presencas frequentemente. {nl}Mas agora, mesmo nossas preces combinadas nao tem o menor impacto. {nl}Sera que elas realmente nos abandonaram?	4년 전까지만 해도 여신들께선 종종 모습을 드러내셨죠.{nl}그런데 지금은 아무리 기도를 드려도 미동조차 없으시네요.{nl}정말 우리를 버리신 걸까요?				부관 폴리나
QUEST_20150317_000059	Vacenin vai pessoalmente a cada regiao para lidar com as coisas. {nl}Ele fica desconfortavel quando permanece na cidade.	바세닌님께서는 각 지역을 직접 오가면서 일을 처리하십니다.{nl}도시에 계시면 답답하시다면서 말이죠.				부관 폴리나
QUEST_20150317_000060	Voce planeja ficar ou se alistar? {nl}Se tiver interesse, terei prazer em recomendar voce aos comandantes.	혹시 여기 계속 머무르시거나 군인이 되실 생각은 없으십니까?{nl}생각이 있다면 제가 상부에 잘 말해보겠습니다.				부관 폴리나
QUEST_20150317_000061	Nao baixe sua guarda. Monstros podem aparecer a qualquer instante, em qualquer lugar.	언제 어디서 몬스터가 덤빌지 모르니 방심할 수 없어요.				병사 하이란스
QUEST_20150317_000062	Onde sera que a Deusa Zemyna foi parar...	제미나 여신께선 도대체 어디로 가셨는지..				병사 블락
QUEST_20150317_000063	Como voce chamaria uma coisa dessas?	이게 다 도대체 뭐랍니까.				병사 블락
QUEST_20150317_000064	Acho que Zemyna, a deusa da terra, sofreria mais do que qualquer outra pessoa.	 누구보다도 대지의 여신인 제미나님께서 슬퍼하실 겁니다.				병사 블락
QUEST_20150317_000065	Os Pokubus sempre estiveram aqui, mas as vezes monstros menos familiares tambem sao avistados.	포쿠부는 예전에도 본 적이 있죠.{nl}하지만 이 녀석 말고도 가끔 알 수 없는 몬스터도 나타납니다.				병사 요크
QUEST_20150317_000066	Eu pensei nisso. Nao ha duvida que as deusas abandonaram todos nos. {nl}Se nao fosse o caso, nao haveria tantos monstros.	제 생각에는요. 여신께서 우리를 버린 게 틀림없어요.{nl}그게 아니라면 몬스터가 저렇게 많을 리 없죠.				병사 요크
QUEST_20150317_000067	Dizem que ha um homem abencoado com a forca da deusa vivendo na floresta.	이 근방 숲에 여신의 힘을 받은 사람이 산다는데..				병사 요크
QUEST_20150317_000068	Quero ir para casa.	고향으로 돌아가고 싶습니다.				병사 무디
QUEST_20150317_000069	O numero de monstros aqui nao parece mudar, nao importa quantos sao mortos.	여기서 아무리 몬스터를 잡아도 도통 줄어들지 않습니다.				병사 무디
QUEST_20150317_000070	Julian enviou voce, Revelador?	계시자라니, 줄리안이 보낸 거요?				
QUEST_20150317_000071	Estou de queixo caido. {nl}Voce e a primeira pessoa que encontrei aqui em muitos anos.	그럴 리가 없어요.{nl}최근 몇 년간 이 숲에서 만난 사람은 당신이 처음인걸요.{nl}				오래된 부엉이 조각상
QUEST_20150317_000072	Vou te mostrar o que vi.	제가 본 것을 보여드릴게요.				오래된 부엉이 조각상
QUEST_20150317_000073	Por favor, esqueca sobre mim, e apenas va embora. {nl}A flores parecem estar crescendo maravilhosamente.	내 걱정은 말고 그냥 돌아가시오.{nl}아, 예쁜 꽃들이 몰려오는구먼.				
QUEST_20150317_000074	Lena	레나				
QUEST_20150317_000075	Por favor, me conte a historia da sua vida. {nl}Seguimos a vontade de Vybora e registramos tudo que ha nesse mundo.	당신의 소중한 경험담을 들려주세요.{nl}저희 교단에서는 바이보라님의 의지에 따라 세상의 모든 것을 기록하고 있답니다.				레나
QUEST_20150317_000076	Henryka	헤느리카				
QUEST_20150317_000077	Ola! {nl}Obrigado por vir ate a filial de Klaipeda da Sociedade dos Magos. {nl}Nos especializamos no estudo de fenomenos estranhos que ocorrem quando itens especiais sao combinados.	안녕하세요. 마법협회 클라페다 지부입니다.{nl}저희는 특별한 물건들이 모일 때 벌어지는 신비한 현상에 대해 연구하고 있답니다.				헤느리카
QUEST_20150317_000078	Nao ha nada para ver aqui alem de vapor e Vubbes. {nl}Espere, o que e aquela coisa com rosto grande se aproximando?!	여긴 아무리 봐도 습기랑 부베밖에 없는 것 같아.{nl}이런 데에서 커다란 얼굴이라니, 도대체 뭐가 튀어나왔다는 걸까?				합동조사단 프레이
QUEST_20150317_000079	A terra tambem precisa de nossa atencao. {nl}O mundo ainda nao esta arruinado... nao e?	나라도 정신 차려야지.{nl}아직 세상이 망한 것은 아니니.. 그렇지?				합동조사단 유커트
QUEST_20150317_000080	Se continuarmos com cordialidade, ainda saberemos como levar uma vida justa. {nl}Deviamos ponderar se essa bagunca e nossa culpa ou nao por termos dependido tanto das deusas para tudo.	호의가 계속되면 그게 권리인 줄 안다는 말이 있지.{nl}어쩌면 우리가 너무 여신께만 기댄 게 화를 부른 건 아닐까 생각돼.				합동조사단 유커트
QUEST_20150317_000081	Quadro de Avisos	알림판				
QUEST_20150317_000082	Saudacoes! Essa e a cidade mineradora de Klaipeda!	천혜의 광산도시 클라페다에 오신 것을 환영합니다!				알림판
QUEST_20150317_000083	Viuva Indiferente	담담한 미망인				
QUEST_20150317_000084	Nao tenho certeza se entendi corretamente, mas tenho certeza de que as deusas nao desapareceram todas de uma vez.	이유는 저도 잘 몰라요. {nl}하지만 확실한 건, 여신들께선 한꺼번에 사라지신 게 아니라는 거에요.				담담한 미망인
QUEST_20150317_000085	A primeira a desaparecer foi a Deusa Gabija. {nl}Ouvi dizer que faz muito tempo. {nl}Uma por uma, comecando com Gabija, elas pararam de responder.	제일 먼저 자취를 감추신 분은 가비야 여신이라고 해요.{nl}아주 오래 전의 일이라고 들었어요.{nl}가비야 여신을 시작으로 한 분씩 응답이 없으셨다고 해요.{nl}				담담한 미망인
QUEST_20150317_000086	A Deusa Vakarine nos deixou as vesperas de Medzio Diena. {nl}Tanto Zemyna quanto Ausrine desapareceram logo em seguida. {nl}Ja faz quatro anos desde entao.	바카리네 여신께선 신수의 날 전에 사라지셨다고 하셨고요.{nl}마지막엔 제미나 여신과 아우슈리네 여신을 끝으로 모든 여신께서 사라지시고 말았죠.{nl}그게 벌써 4년 전 일이네요. {nl}				담담한 미망인
QUEST_20150317_000087	Isso mesmo. A mais estranha de todas foi a Deusa Laima. {nl}Ninguem sabe ao certo quando ela desapareceu.	맞아요. 제일 이상한 건 라이마 여신이세요.{nl}언제 사라지신 건지 아무도 모르거든요.{nl}				
QUEST_20150317_000088	Alem disso, Laima nao e a Deusa do Destino e Sabedoria? {nl}Ela provavelmente estava ciente de tudo isso.	게다가 라이마께선 운명과 예지의 여신이시잖아요? {nl}아마 전부 알고 계시지 않았을까요?				
QUEST_20150317_000089	Soldado em Descanso	휴식중인 병사				
QUEST_20150317_000090	Ja fui um aventureiro, como voce. Entao levei uma flecha no joelho...	저도 왕년에는 당신처럼 잘 나가는 모험가였지만 무릎에 화살을 맞아서 그만..{nl}				휴식중인 병사
QUEST_20150317_000091	Nao importa. Venham me enfrentar, seus monstros!	그래도 상관없습니다. 몬스터따위 나와 보라지요!{nl}				휴식중인 병사
QUEST_20150317_000092	Uma deusa apareceu no meu sonho agora mesmo... {nl}Foi tao encantador...	저번엔 여신께서 나오는 꿈을 꾸었는데.. {nl}얼마나 황홀하던지..{nl}				휴식중인 병사
QUEST_20150317_000093	Mesmo assim, temos o dever de defender o reino. Por isso, estou aqui.	하지만 왕국을 지켜야 하는 의무가 있기 때문에 지금 여기 있는 겁니다.				휴식중인 병사
QUEST_20150317_000094	Uska e um amigo de velha data.	우스카라면 제 오랜 친구였지요.{nl}				휴식중인 병사
QUEST_20150317_000095	Prestamos o exame para nos tornar cavaleiros juntos. Uska chegou ate onde esta com meu sincero apoio. {nl}Ah, aqueles foram dias loucos... Seria bom ve-lo de novo.	저랑 같이 기사 시험을 봤는데, 제 헌신적인 도움으로 지금의 우스카가 될 수 있었던 거지요.{nl}아아, 그땐 참 재밌었는데.. 보고 싶다, 우스카!				휴식중인 병사
QUEST_20150317_000096	So nao acredite em tudo que ele diz. {nl}Ele era famoso por ser bastante exibido no lugar de onde viemos.	저 친구 말 너무 믿지 않는게 좋습니다.{nl}우리 동네 유명한 허풍쟁이였으니까요.{nl}				
QUEST_20150317_000097	Eu? Eu acho engracado, mas nao o incomodo.	저요? 그냥 재밌으니까 내버려 두는 거지요.				휴식중인 병사
QUEST_20150317_000098	Er, espere. Eu retiro o que disse sobre nao acreditar em tudo que ele diz.	음.. 너무 믿지 말란 말 취소하지요.{nl}				휴식중인 병사
QUEST_20150317_000099	Tudo que sai da boca dele e mentira. Nao confie nele.	전부 다 거짓말이니까 저 녀석 입에서 나오는 모든 말은 믿지 마세요.				휴식중인 병사
QUEST_20150317_000100	Guarda de Siauliai	샤울레이 경비병				
QUEST_20150317_000101	Ha monstros daqui em diante. Tenha cuidado.	여기서부턴 몬스터가 나오니 위험한 행동은 자제하시길 바랍니다.				샤울레이 경비병
QUEST_20150317_000102	Essa floresta nao e exatamente pacifica, mas e melhor que outros lugares. {nl}Ha florestas com nada alem de almas perambulando por elas.	여기 숲도 썩 평화로운 건 아닙니다만, 그래도 다른 지역보단 나을 겁니다.{nl}어떤 숲은 사람은 없고 영혼만 돌아다닌다고 하더라고요.				샤울레이 경비병
QUEST_20150317_000103	E disso que as pessoas que viram deusas em seus sonhos estao sendo chamadas.	당신처럼 여신께서 나오는 꿈을 꿨다는 사람들을 모두 계시자라고 불러요.{nl}				클라페다 주민
QUEST_20150317_000104	Achei que as visoes dos Reveladores eram loucura, a principio. {nl}As deusas se foram faz muito tempo, afinal de contas.	처음엔 계시자들을 보고 다들 정신이 나갔다고 생각했었어요.{nl}여신께서 자취를 감추신 지 오래되었으니까요.{nl}				클라페다 주민
QUEST_20150317_000105	Nao e verdade que as deusas nao respondem as nossas preces desde Medzio Diena, quatro anos atras?	4년 전의 신수의 날에도 우리들의 기도에 아무런 응답이 없으셨잖아요?				클라페다 주민
QUEST_20150317_000106	Voce pode encontrar Mestres de Classe por todo o reino. {nl}Que tal visita-los e aprender o que for possivel?	왕국 곳곳에 각 직업의 마스터들이 계십니다.{nl}그분들을 찾아가 가르침을 받는 건 어떨까요?				클라페다 경비병
QUEST_20150317_000107	Voce nao sabe sobre Medzio Diena? Voce deve ter vindo de muito longe mesmo. {nl}Quatro anos atras, as coisas sairam de controle na capital.	모르세요? 진짜로 외진 곳에서 오셨나 보네요.{nl}4년 전에, 수도의 중앙에서 신수가 솟아오르면서 폭주한 일 말이에요.{nl}				클라페다 주민
QUEST_20150317_000108	Foi um desastre... Muitas pessoas acabaram feridas ou mortas. {nl}Criaturas que outrora foram gentis ficaram violentas, e muitos novos monstros surgiram.	그 재앙으로 인해 정말 많은 사람들이 죽거나 다쳤죠.{nl}얌전했던 몬스터들도 흉폭해지고 새로운 몬스터도 많이 생겨났어요.{nl}				클라페다 주민
QUEST_20150317_000109	Se quiser entender o que aconteceu durante Medzio Diena ha quatro anos, va para Klaipeda. {nl}Muitos dos sobreviventes se refugiaram la.	4년 전의 신수의 날이 더 궁금하시다면 클라페다로 가 보세요.{nl}그 때 살아남은 사람들 중에 클라페다로 피난 온 사람들이 꽤 많으니까요.				클라페다 주민
QUEST_20150317_000110	Sentinela da Floresta Oriental	동쪽 숲 경계병				
QUEST_20150317_000111	Voce esta indo para a Floresta Oriental? {nl}Nao faca isso! E perigoso demais!	동쪽 숲으로 들어가시려는 겁니까? {nl}절대 가지 마세요. 위험합니다!{nl}				동쪽 숲 경계병
QUEST_20150317_000112	Droga, essas coisas teimosas nos perseguiram ate aqui!	윽, 이 끈질긴 놈들 여기까지 쫓아오다니..!!				동쪽 숲 경계병
QUEST_20150317_000113	Aqueles gritos... Estamos sendo atacados!	이 비명소리는.. 습격입니다!				
QUEST_20150317_000114	Instrucoes de Seguranca	안전 수칙				
QUEST_20150317_000115	1. Apenas pessoas autorizadas podem entrar. {nl}2. Sempre siga as instrucoes do supervisor de mineracao.	1. 허가받은 인원 외엔 절대 출입 금지.{nl}2. 반드시 광산 소장의 인솔 하에 움직일 것.{nl}				안전 수칙
QUEST_20150317_000116	3. Nao se aproxime das areas fechadas. {nl}4. Quaisquer individuos suspeitos devem ser relatados aos Cavaleiros de Klaipeda.	3. 폐쇄된 구역은 절대 접근 금지. {nl}함부로 접근하려는 자를 발견 시 클라페다 기사단에 신고하시오.				안전 수칙
QUEST_20150317_000117	Soldado da Base de Suprimentos	보급기지 병사				
QUEST_20150317_000118	Nunca participei de uma luta de verdade antes, estou um pouco nervoso.	실전에 익숙하지 않아 긴장됩니다.				보급기지 병사
QUEST_20150317_000119	Sentinela da Fazenda	농장 경계병				
QUEST_20150317_000120	Meu colega esta no meio de uma batalha na Vila dos Mineradores. {nl}Pensei em ir ajudar, mas a Floresta Oriental esta em apuros tambem, entao a unica coisa que posso fazer e ficar preocupado.	제 동료는 광산 마을에서 교전 중입니다.{nl}생각 같아선 지원을 가고 싶지만 동쪽 숲까지 난리이니 그저 걱정입니다.				농장 경계병
QUEST_20150317_000121	Acho que essa missao me submeteu a monstros suficientes para uma vida inteira. {nl}Costumava ser so grupos de Vubbes.	이번 임무로 평생 마주칠 몬스터는 실컷 본 것 같습니다.{nl}기껏해야 부베 정도나 몰려 다녔죠.				농장 경계병
QUEST_20150317_000122	Chupacabras gostam de regatos e da vegetacao da area norte.	츄파카브라들은 주로 위쪽의 개울과 수풀이 우거진 곳을 좋아한다고 합니다.				
QUEST_20150317_000123	Capitao da Guarda de Klaipeda	클라페다 경비병 대장				
QUEST_20150317_000124	Voce e...	당신이 바로..				클라페다 경비병 대장
QUEST_20150317_000125	Parece que voce pode ver a floresta superior daqui. {nl}Tente nao entrar em encrenca.	여기서 숲 위쪽의 깊숙한 곳에서 보았다고 하더군.{nl}혹시 모르니 너무 자극하진 말고.				
QUEST_20150317_000126	Voce nao tem o item de quest necessario. Tem certeza de que deseja continuar?	퀘스트에 필요한 아이템이 없습니다. 생성 후 진행 하시겠습니까?				QuestModify
QUEST_20150317_000127	Garota de Klaipeda	클라페다 소녀				
QUEST_20150317_000128	Meu vizinho foi um cacador de monstros. {nl}Mas ele se aposentou. As coisas ficaram absurdamente perigosas.	저 아저씨는 옆집에 사시는 분인데요, 예전엔 몬스터 사냥꾼이셨대요.{nl}하지만 지금은 그만 두셨대요. 너무 흉폭해서 위험하대요.				클라페다 소녀
QUEST_20150317_000129	Seria bom se todos esses Reveladores aqui fizessem as deusas voltarem.	계시자들이 나타났다는게 여신께서 돌아오신다는 징조라면 참 좋을 텐데요.				
QUEST_20150317_000130	Pode ser ingenuidade desejar o retorno das deusas, mas e melhor que nada.	여신께만 기대는 건 바보 같은 짓이지만 기댈 곳도 없어지는 것보단 나은 것 같습니다.				클라페다 경비병
QUEST_20150317_000131	Senhora de Klaipeda	클라페다 귀부인				
QUEST_20150317_000132	Ainda e possivel cultivar a terra, e temos uma lareira quente nos esperando em nossos lares. {nl}Sempre acreditarei que a deusa esta em algum lugar deste mundo.	아직도 땅에선 작물들이 자라나고 집에선 따뜻하게 불을 피울 수 있어요.{nl}저는 아직도 여신께서 어딘가에 반드시 계실 거라고 믿고 있습니다.				클라페다 귀부인
QUEST_20150317_000133	Nao perca a sua fe. {nl}A deusa ainda pode nos enviar um Salvador.	기도하세요.{nl}여신께서 우리를 구원해 줄 누군가를 보내주실 겁니다.				클라페다 귀부인
QUEST_20150317_000134	Mestre Hoplita	하플라이트 마스터				
QUEST_20150317_000135	Se a espada e um simbolo de poder, entao a lanca e o da pura destruicao. {nl}Poder ou destruicao - qual voce empregaria no campo de batalha?	검이 권위의 상징이라면 창은 순수한 살상 무기 그 자체입니다.{nl}권위와 무기. 만약 당신이 전쟁터에 있다면 어떤 것을 드시겠습니까?				하플라이트 서브 마스터
QUEST_20150317_000136	Operador de Maquina	기계 제작 장인				
QUEST_20150317_000137	Mesmo com o mundo tao caotico quanto esta, nao podemos parar de trabalhar. {nl}Ja faz quatro anos. Nao e hora de aceitar o passado e comecar de novo?	아무리 세상이 이지경이라도 일을 놓을 순 없소.{nl}이제 4년이나 흘렀으니 마음을 추스리고 다시 시작해야하지 않겠소?				기계 제작 장인
QUEST_20150317_000138	Klaipeda e uma cidade que vive da mineracao. {nl}Com Medzio Diena, deviamos trabalhar plantando ou cortando arvores.	클라페다는 광산으로 먹고 사는 도시요.{nl}신수의 날 따위로 우리가 일을 놓는다면 아마 나무나 깎아서 생활해야 할 거요.				기계 제작 장인
QUEST_20150317_000139	Meu velho tinha essa mania de procurar coisas legais por ai. {nl}As vezes, ele tinha sorte e encontrava um belo bau do tesouro. Quem sera que o deixava la?	아저씨가 그러셨는데요, 할 수만 있다면 구석구석을 잘 살피는 게 좋대요.{nl}가끔 운이 좋으면 보물상자를 발견할 수도 있다네요. 누가 갖다 놨을까?				클라페다 소녀
QUEST_20150317_000140	Cacador Aposentado	은퇴한 사냥꾼				
QUEST_20150317_000141	Eu me lembro dessa batalha em um canion profundo, onde soldados enfrentaram um monstro enorme. {nl}Ver aquele gigante caindo foi inacreditavel, mas ainda mais incriveis foram os espolios.	일전에 깊은 협곡에서 병사들이 거대한 몬스터와 싸우는 걸 봤소.{nl}그 엄청난 몬스터를 쓰러뜨린 것도 대단하지만 전리품이 어마어마하더군.				은퇴한 사냥꾼
QUEST_20150317_000142	Oleiro Idoso	도자기 빚는 노인				
QUEST_20150317_000143	Coloquei uma prece em cada uma das minhas pecas de ceramica, uma a uma. {nl}Dessa forma, os vasos um dia serao preenchidos pelas bencaos da deusa.	도자기 하나에 소원 하나씩 담는 것일세.{nl}그러다 보면 언젠간 여신의 은총이 이 도자기 전부에 가득 차겠지.				도자기 빚는 노인
