SKILL_20150317_000001	Ataque
SKILL_20150317_000045	Ataque Único Mágico, Golpe, Propriedade de Gelo, Normal de [Sakmoli]
SKILL_20150317_000046	Ataque Físico, Golpe, Propriedade de Terra, Colisão de [Jukopus]
SKILL_20150317_000047	Ataque Físico, Golpe, Propriedade de Terra, Saltar e Colisão de [Jukopus]
SKILL_20150317_000048	Saltar e Esmagar de [Aranha-do-Mato Vermelha]
SKILL_20150317_000049	Ataque Normal, AdE Cônica de [Aranha-do-Mato Vermelha]
SKILL_20150317_000050	Ataque Normal, AdE Cônica de [Dionia Bebê]
SKILL_20150317_000051	Ataque Físico, Golpe, Propriedade de Veneno, Soco Único de [Mini Griba]
SKILL_20150317_000052	Ataque Físico, Golpe, Propriedade de Veneno, Soco Duplo de [Mini Griba]
SKILL_20150317_000053	Ataque Físico, Golpe, Propriedade de Veneno, Duas Mãos de [Mini Griba]
SKILL_20150317_000054	Ataque Único Físico, Golpe, Propriedade de Gelo de [Griba]
SKILL_20150317_000055	Ataque Único Mágico, Magia, Propriedade de Gelo de [Griba]
SKILL_20150317_000056	Ataque Normal, AdE Cônica de [Velho Kepa]
SKILL_20150317_000057	Golpe de Uma Mão de [Assombração Arbórea] 
SKILL_20150317_000058	Golpe de Duas Mãos de [Assombração Arbórea]
SKILL_20150317_000059	Pisotear de [Assombração Arbórea]
SKILL_20150317_000060	Ataque Triplo Mágico, Magia, Propriedade de Fogo, Fogo Enfurecido de [Cocatriz]
SKILL_20150317_000061	Ataque Único Físico, Perfurar, Propriedade de Fogo de [Zinute]
SKILL_20150317_000062	Ataque Único Físico, Corte, Propriedade de Fogo de [Zinute]
SKILL_20150317_000063	Ataque Único Físico, Golpe, Propriedade de Elétrico de [Tontulia]
SKILL_20150317_000064	Ataque Duplo Físico, Golpe, Propriedade de Elétrico de [Tontulia]
SKILL_20150317_000065	Ataque Duplo Físico, Golpe, Propriedade de Veneno de [Tontus]
SKILL_20150317_000066	Ataque Único Físico, Perfurar, Propriedade de Veneno de [Tontus]
SKILL_20150317_000067	Ataque Único Físico, Golpe, Propriedade de Veneno de [Tontus]
SKILL_20150317_000068	Ataque Físico, Perfurar, Propriedade de Veneno, Perfurar Progressivo de [Vekarabe]
SKILL_20150317_000069	Ataque Físico, Perfurar, Propriedade de Veneno, Perfurar Progressivo Superior de [Vekarabe]
SKILL_20150317_000070	Ataque Duplo Físico, Golpe, Propriedade de Terra de [Geppetto]
SKILL_20150317_000071	Ataque Único Físico, Golpe, Propriedade de Terra de [Geppetto]
SKILL_20150317_000072	Ataque Único Físico, Golpe, Propriedade de Terra de [Geppetto]
SKILL_20150317_000073	Ataque Único Físico, Golpe, Propriedade de Terra de [Boowook]
SKILL_20150317_000074	Ataque Único Físico, Golpe, Propriedade de Terra, Pisotear de [Boowook]
SKILL_20150317_000075	Ataque Físico, Perfurar, Propriedade de Trevas, Golpe de Cauda de [Desmodus]
SKILL_20150317_000076	Ataque Físico, Perfurar, Propriedade de Trevas, Colisão de [Desmodus]
SKILL_20150317_000077	Ataque Único Físico, Golpe, Propriedade de Terra de [Pino]
SKILL_20150317_000078	Ataque Físico, Perfurar, Propriedade de Veneno, Esmagar com Tentáculo de [Couve-Flor]
SKILL_20150317_000079	Ataque Físico, Perfurar, Propriedade de Veneno, Arrancar com Tentáculo de [Couve-Flor]
SKILL_20150317_000080	Ataque Físico, Perfurar, Propriedade de Veneno, Esmagar Chão de [Couve-Flor]
SKILL_20150317_000081	Ataque Único Físico, Perfurar, Propriedade de Terra de [Besouro]
SKILL_20150317_000082	Ataque Duplo Normal de [Besouro]
SKILL_20150317_000083	Ataque Único Mágico, Magia, Propriedade de Fogo de [Mago Vikaras]
SKILL_20150317_000084	Ataque Único Físico, Corte, Propriedade de Fogo de [Mago Vikaras]
SKILL_20150317_000085	Ataque Único Físico, Corte, Propriedade de Fogo de [ViKaras]
SKILL_20150317_000086	Ataque Único Físico, Corte, Propriedade de Fogo, Esmagar Chão de [ViKaras]
SKILL_20150317_000087	Ataque Normal, Míssil Progressivo de [Chinency Mutante]
SKILL_20150317_000088	Golpe de Uma Mão de [Zinute]
SKILL_20150317_000089	Golpe de Duas Mãos de [Zinute]
SKILL_20150317_000090	Esmagar Chão de [Zinute]
SKILL_20150317_000091	Ataque Único Físico, Perfurar, Propriedade de Fogo [Lauzinute]
SKILL_20150317_000092	Ataque Giratório Físico, Perfurar, Propriedade de Fogo [Lauzinute]
SKILL_20150317_000093	Ataque Único Físico, Perfurar, Propriedade de Elétrico [Dente de Leão]
SKILL_20150317_000094	Ataque Duplo Físico, Corte, Propriedade de Elétrico de [Rusrat]
SKILL_20150317_000095	Ataque Único Físico, Corte, Propriedade de Elétrico [Rusrat]
SKILL_20150317_000096	Ataque Único Físico, Corte, Propriedade de Trevas [Madakia]
SKILL_20150317_000097	Ataque Único Mágico, Magia, de Propriedade de Trevas [Madakia]
SKILL_20150317_000098	Esmagar Chão de [Madakia]
SKILL_20150317_000099	Golpe de Duas Mãos de [Wheelen]
SKILL_20150317_000100	Ataque Único Físico, Golpe, Propriedade de Trevas de [Mauros]
SKILL_20150317_000101	Ataque Único Físico, Golpe, Propriedade de Trevas, Esmagar de [Mauros]
SKILL_20150317_000102	Ataque Único Físico, Golpe, Propriedade de Terra de [Sauga]
SKILL_20150317_000103	Ataque Físico, Golpe, Propriedade de Terra, Esmagar Chão de [Sauga]
SKILL_20150317_000104	Ataque Normal de Abóbora.
SKILL_20150317_000105	Ataque Duplo
SKILL_20150317_000106	Ataque Duplo Normal de Abóbora.
SKILL_20150317_000107	Ataque Normal de [Sacerdote Sauromem].
SKILL_20150317_000108	Habilidades
SKILL_20150317_000109	Habilidades de [Sacerdote Sauromem].
SKILL_20150317_000110	Ataque Normal de Sauromem.
SKILL_20150317_000111	Ataque Duplo Normal de Sauromem.
SKILL_20150317_000112	Ataque Normal de Garoto Fantasma.
SKILL_20150317_000113	Habilidades de Garoto Fantasma.
SKILL_20150317_000114	Ataque Normal de Tio Fantasma.
SKILL_20150317_000115	Habilidades de Tio Fantasma.
SKILL_20150317_000116	Ataque Normal de Goble de Elite.
SKILL_20150317_000117	Ataque Duplo Normal de Goble de Elite.
SKILL_20150317_000118	Ataque Normal de Zumbi Dominado.
SKILL_20150317_000119	Ataque Duplo Normal de Zumbi Dominado.
SKILL_20150317_000120	Ataque Normal de Zumbi Frenético.
SKILL_20150317_000121	Ataque Normal de Zumbi-Vela.
SKILL_20150317_000122	Ataque Normal de Arqueiro Zumbi.
SKILL_20150317_000123	Ataque Normal Físico, Corte, Propriedade de Água de [Vubbe Graduado]
SKILL_20150317_000124	Ataque Normal de Alcance, Perfurar, Propriedade de Água de [Arqueiro Vubbe Graduado]
SKILL_20150317_000125	Ataque Normal de Garota Fantasma.
SKILL_20150317_000126	Habilidades de Garota Fantasma.
SKILL_20150317_000127	Ataque Normal de Madame Fantasma.
SKILL_20150317_000128	Habilidades de Madame Fantasma.
SKILL_20150317_000129	Ataque Normal de Olho de Mirtis.
SKILL_20150317_000130	Ataque Duplo Normal de Olho de Mirtis.
SKILL_20150317_000131	Ataque Normal de Espectro de Elite.
SKILL_20150317_000132	Ataque Duplo Normal de Espectro de Elite.
SKILL_20150317_000133	Ataque Físico, Golpe, Propriedade de Terra, Golpe de Frente e de Costas de [Chinency]
SKILL_20150317_000134	Ataque Físico, Golpe, Propriedade de Terra, Cabeçada de [Papouleão]
SKILL_20150317_000135	Ataque Físico, Golpe, Propriedade de Terra, Onda Sonora de [Papouleão]
SKILL_20150317_000136	Ataque Normal, Míssil Progressivo de [Patrulheiro Chinency]
SKILL_20150317_000137	Habilidade Única, Míssil Progressivo, Induzir Repulsão de [Patrulheiro Chinency]
SKILL_20150317_000138	Ataque Físico, Golpe, Propriedade de Terra, Cabeçada de [Chupacabra]
SKILL_20150317_000139	Ataque Físico, Golpe, Propriedade de Terra, Saltar e Pisotear de [Chupacabra]
SKILL_20150317_000140	Ataque Triplo Normal de Sucção de [Chupacabra]
SKILL_20150317_000141	Ataque Quádruplo Normal de Sucção de [Chupacabra]
SKILL_20150317_000142	Ataque Normal de Espectro.
SKILL_20150317_000143	Ataque Normal de Espírito da Floresta.
SKILL_20150317_000144	Ataque Duplo Normal de Espírito da Floresta.
SKILL_20150317_000145	Ataque Normal de Guarda.
SKILL_20150317_000146	Ataque Duplo Normal de Guarda.
SKILL_20150317_000147	Explosão Grande
SKILL_20150317_000148	Explosão Grande (Defesa)
SKILL_20150317_000149	Ataque Normal de Torreta Unidirecional
SKILL_20150317_000150	Ataque Único Físico, Golpe, Propriedade de Veneno de [Ridimed]
SKILL_20150317_000151	Ataque de Lutador Duende.
SKILL_20150317_000152	Ataque Normal de Arbusto Espinhoso.
SKILL_20150317_000153	Ataque de Guerreiros de [Soldados de Combate]
SKILL_20150317_000154	Ataque Duplo de Guerreiros de [Soldados de Combate]
SKILL_20150317_000155	Habilidades de Arqueiro Zumbi.
SKILL_20150317_000156	Ataque Normal de Zumbi Cadeirante.
SKILL_20150317_000157	Habilidades de Zumbi Cadeirante.
SKILL_20150317_000158	Muralha de Fogo
SKILL_20150317_000159	Cria uma Muralha de Fogo que fere os inimigos ao tocar.
SKILL_20150317_000160	Explosão de Mina
SKILL_20150317_000161	Detona as minas explosivas.
SKILL_20150317_000162	Explosão Tóxica
SKILL_20150317_000163	Detona as minas tóxicas.
SKILL_20150317_000164	Explosão de Claymore
SKILL_20150317_000165	Explosão da mina Claymore.
SKILL_20150317_000166	Ataque de Saltar
SKILL_20150317_000167	Regato da Vida
SKILL_20150317_000168	Colina do Regato da Vida
SKILL_20150317_000169	Cunha Glacial
SKILL_20150317_000170	Após as 2 Cunhas Glaciais
SKILL_20150317_000171	Explosão de Semente
SKILL_20150317_000172	Explosão da semente.
SKILL_20150317_000173	Explosão de Fogo
SKILL_20150317_000174	Explosão de chamas.
SKILL_20150317_000175	Nevasca
SKILL_20150317_000176	Explosão de Meteoro
SKILL_20150317_000177	Ataque Normal
SKILL_20150317_000178	Derrubar
SKILL_20150317_000179	Derruba e fere os inimigos ao empurrá-los.
SKILL_20150317_000180	Ataque de Míssil
SKILL_20150317_000181	Ataque de Torreta AOS
SKILL_20150317_000182	Ataque de [Homem-árvore]
SKILL_20150317_000183	Ataque de Salamandra
SKILL_20150317_000184	Ataque Físico, Corte, Propriedade de Terra, Picareta Giratória de [Minerador Vubbe]
SKILL_20150317_000185	Ataque de Estátua do Salão
SKILL_20150317_000186	Habilidades de Estátua do Salão
SKILL_20150317_000187	Ataque Único de Sacerdote
SKILL_20150317_000188	Habilidade Única de Sacerdote
SKILL_20150317_000189	Ataque Único Mágico, Magia, Propriedade de Elétrico de [Aparição Verde]
SKILL_20150317_000190	Ataque Único de Estátua
SKILL_20150317_000191	Ataque Físico, Corte, Propriedade de Terra, Lança Giratória de [Ladrão Vubbe]
SKILL_20150317_000192	Ataque Físico, Cortar, Propriedade de Terra, Habilidade de Áries de [Ladrão Vubbe]
SKILL_20150317_000193	Ataque Normal de [Lanceiro Sauromem].
SKILL_20150317_000194	Ataque Duplo Normal de [Lanceiro Sauromem].
SKILL_20150317_000195	Ataque de Alcance, Perfurar, Propriedade de Terra, Disparo de Flecha de [Arqueiro Vubbe]
SKILL_20150317_000196	Ataque Físico, Golpe, Propriedade de Terra, Gancho de [Pokubu]
SKILL_20150317_000197	Ataque Mágico, Magia, Propriedade de Veneno, Dispersão de Veneno Frontal de [Bicho-da-Seda]
SKILL_20150317_000198	Alcance, Magia, Propriedade de Veneno, Disparo de Veneno de Longe de [Bicho-da-Seda]
SKILL_20150317_000199	Ataque Normal de [Lenhador Sauromem].
SKILL_20150317_000200	Ataque Duplo Normal de [Lenhador Sauromem].
SKILL_20150317_000201	$Curar
SKILL_20150317_000202	Cura de Monstro
SKILL_20150317_000203	Ataque de Minerador Vubbe
SKILL_20150317_000204	Ataque Normal de [Pokubu Selvagem]
SKILL_20150317_000205	Ataque Normal de Guarda.
SKILL_20150317_000206	Ataque Duplo Normal de Guarda.
SKILL_20150317_000207	Ataque Triplo Normal de Guarda.
SKILL_20150317_000208	Ataque com Uma Pata Físico, Golpe, Propriedade de Trevas de [Aranha-Vela]
SKILL_20150317_000209	Ataque Físico, Golpe, Propriedade de Trevas, Colisão de [Aranha-Vela]
SKILL_20150317_000210	Ataque Físico, Golpe, Propriedade de Trevas, Saltar e Pisotear com Duas Patas de [Aranha-Vela]
SKILL_20150317_000211	Ataque Único Físico, Golpe, Propriedade de Veneno de [Sapo Alado]
SKILL_20150317_000212	Ataque Único Físico, Golpe, Propriedade de Veneno, Veneno de [Sapo Alado]
SKILL_20150317_000213	Ataque Físico, Golpe, Propriedade de Veneno, Repulsão de Cabeçada de [Sapo Alado]
SKILL_20150317_000214	Ataque Físico, Golpe, Propriedade de Trevas, Colisão de [Bicho-Folha Negro]
SKILL_20150317_000215	Ataque Físico, Golpe, Propriedade de Trevas, Mordida de [Bicho-Folha Negro]
SKILL_20150317_000216	Ataque Físico, Golpe, Propriedade de Trevas, Saltar de [Bicho-Folha Negro]
SKILL_20150317_000217	Ataque Único Físico, Golpe, Propriedade de Terra de [Golem de Cemitério]
SKILL_20150317_000218	Ataque Único Físico, Corte, Propriedade de Fogo, de [Drake]
SKILL_20150317_000219	Ataque Mágico, Magia, Propriedade de Fogo, Fogo Enfurecido de [Drake]
SKILL_20150317_000220	Ataque Duplo Físico, Perfurar, Propriedade de Fogo de [Cocatriz Grande]
SKILL_20150317_000221	Ataque Mágico, Perfurar, Propriedade de Fogo, Voar e Cabeçada de [Cocatriz Grande]
SKILL_20150317_000222	[Cocatriz Grande]
SKILL_20150317_000223	Ataque Normal Físico de [Xamã Panto]
SKILL_20150317_000224	Ataque Mágico, Golpe, Propriedade de Elétrico de [Xamã Panto]
SKILL_20150317_000225	Ataque Mágico, Magia, Propriedade de Elétrico de [Xamã Panto]
SKILL_20150317_000226	Ataque Normal Físico de [Mago Panto]
SKILL_20150317_000227	Ataque Mágico, Golpe, Propriedade de Elétrico Mágico de [Mago Panto]
SKILL_20150317_000228	Ataque Mágico, Magia, Propriedade de Elétrico de [Mago Panto]
SKILL_20150317_000229	Ataque Físico, Golpe, Propriedade de Elétrico de [Moya]
SKILL_20150317_000230	Ataque Físico, Golpe, Propriedade de Elétrico de [Moyabu]
SKILL_20150317_000231	Ataque Físico, Golpe, Propriedade de Terra de [Bavon]
SKILL_20150317_000232	Ataque Físico, Corte, Propriedade de Veneno de [Tanu]
SKILL_20150317_000233	Ataque Físico, Golpe, Propriedade de Veneno de [Nozig]
SKILL_20150317_000234	Ataque Normal Físico, Corte de [Nozig]
SKILL_20150317_000235	Ataque Físico, Perfurar, Propriedade de Elétrico de [Moglan]
SKILL_20150317_000236	Ataque Duplo Físico, Perfurar, Propriedade de Elétrico, Giratório de [Moglan]
SKILL_20150317_000237	Ataque Físico, Golpe, Propriedade de Trevas de [Denden]
SKILL_20150317_000238	Ataque Único de Alcance, Magia, Propriedade de Trevas de [Denden]
SKILL_20150317_000239	Ataque Físico, Golpe, Propriedade de Veneno de [Doyor]
SKILL_20150317_000240	Ataque Mágico, Magia, Escudo Refletor de [Doyor]
SKILL_20150317_000241	Ataque Normal Físico, Golpe de [Cuia]
SKILL_20150317_000242	Ataque Mágico, Magia, Propriedade de Veneno de [Cuia]
SKILL_20150317_000243	Ataque Físico, Perfurar, Propriedade de Terra de [Rondo]
SKILL_20150317_000244	Ataque Físico, Golpe, Propriedade de Terra de [Árvore de Galhos Longos]
SKILL_20150317_000245	Ataque Físico, Golpe, Propriedade de Trevas de [Demônio da Terra]
SKILL_20150317_000246	Ataque Físico, Golpe, Propriedade de Terra de [Venucelos]
SKILL_20150317_000247	Ataque Triplo Físico, Golpe, Propriedade de Terra de [Venucelos]
SKILL_20150317_000248	Ataque Físico, Golpe, Sem Propriedade de [Golem Sepulcral]
SKILL_20150317_000249	Ataque Físico, Golpe, Sem Propriedade, Esmagar de [Golem Sepulcral]
SKILL_20150317_000250	Ataque Físico, Golpe, Sem Propriedade, Monstro Adjacente de [Golem Sepulcral]
SKILL_20150317_000251	Ataque Físico, Perfurar, Propriedade de Elétrico, Perfurar de [Wheelen]
SKILL_20150317_000252	Ataque Duplo Físico, Perfurar, Propriedade de Elétrico, Giratório de [Wheelen]
SKILL_20150317_000253	Ataque Físico, Perfurar, Propriedade de Elétrico, Perfurar Intenso de [Wheelen]
SKILL_20150317_000254	Ataque Físico, Golpe, Sem Propriedade, Colisão de [Rocharuga]
SKILL_20150317_000255	Ataque Duplo Físico, Corte, Propriedade de Veneno de [Caro]
SKILL_20150317_000256	Ataque Único Físico, Golpe, Propriedade de Terra de [Lutador Vubbe]
SKILL_20150317_000257	Ataque Único Físico, Golpe, Propriedade de Fogo de [Kepa Vermelho]
SKILL_20150317_000258	Ataque Duplo Físico, Corte, Propriedade de Elétrico de [Tiquinho]
SKILL_20150317_000259	Ataque Físico, Golpe, Propriedade de Terra de [Ambulo Arbóreo]
SKILL_20150317_000260	Ataque Duplo Físico, Golpe, Propriedade de Veneno de [Castorpio]
SKILL_20150317_000261	Ataque com Asas Físico, Golpe, Propriedade de Trevas de [Morcego]
SKILL_20150317_000262	Ataque Mágico, Magia, Propriedade de Trevas de [Farrapo]
SKILL_20150317_000263	Ataque Físico, Golpe, Propriedade de Gelo, Cabeçada de [Yekubita]
SKILL_20150317_000264	Ataque com Asas Físico, Perfurar, Propriedade de Elétrico de [Estátua Lascada]
SKILL_20150317_000265	Ataque Físico, Golpe, Propriedade de Elétrico de [Cire]
SKILL_20150317_000266	Ataque Físico, Golpe, Propriedade de Trevas de [Assombração Arbórea]
SKILL_20150317_000267	Ataque Físico, Corte, Propriedade de Terra de [Ammon]
SKILL_20150317_000268	Ataque Físico, Perfurar, Propriedade de Veneno, Picada de Abelha de [Operor]
SKILL_20150317_000269	Ataque Físico, Perfurar, Propriedade de Veneno, Picada de Abelha de [Abelhouro]
SKILL_20150317_000270	Ataque de Alcance, Magia, Propriedade de Veneno de [Larvarranco]
SKILL_20150317_000271	Ataque Físico, Golpe, Propriedade de Trevas, Chicote de Cauda de [Vesper]
SKILL_20150317_000272	Ataque Físico, Golpe, Propriedade de Trevas de [Karas]
SKILL_20150317_000273	Ataque Físico, Golpe, Propriedade de Terra de [Echad]
SKILL_20150317_000274	Ataque Físico, Golpe, Propriedade de Terra de [Shtayim]
SKILL_20150317_000275	Ataque Físico, Perfurar, Propriedade de Trevas de [Chumbatumba]
SKILL_20150317_000276	Ataque Físico, Golpe, Propriedade de Terra, Fumaça [Tecelã]
SKILL_20150317_000277	Ataque Mágico, Magia, Propriedade de Trevas de [Sacrovente]
SKILL_20150317_000278	Ataque Físico, Golpe, Propriedade de Terra, Uma Mão de [Infrapedraruga]
SKILL_20150317_000279	Ataque Físico, Corte, Propriedade de Veneno de [Merme]
SKILL_20150317_000280	Ataque Físico, Golpe, Propriedade de Fogo de [Infraburk]
SKILL_20150317_000281	Ataque Físico, Golpe, Propriedade de Terra de [Zolem]
SKILL_20150317_000282	Ataque Físico, Golpe, Propriedade de Trevas de [Invasor Kepa]
SKILL_20150317_000283	Ataque Físico, Golpe, Propriedade de Trevas, Colisão de [Cogucarfungo]
SKILL_20150317_000284	Ataque Físico, Corte, Propriedade de Trevas de [Homem-árvore]
SKILL_20150317_000285	Ataque Físico, Golpe, Propriedade de Elétrico de [Duende da Floresta]
SKILL_20150317_000286	Ataque Físico, Golpe, Propriedade de Gelo, Enganchar com Cauda de [Orca de Pedra]
SKILL_20150317_000287	Ataque Mágico, Aumento de Bloqueio, Bônus, Magia de [Orca de Pedra]
SKILL_20150317_000288	Ataque Físico, Perfurar, Propriedade de Veneno de [Drape]
SKILL_20150317_000289	Ataque Físico, Golpe, Propriedade de Fogo de [Infratitular]
SKILL_20150317_000290	Ataque Físico, Corte, Propriedade de Gelo de [Coelepus]
SKILL_20150317_000291	Ataque Físico, Golpe, Propriedade de Fogo de [Arsenal]
SKILL_20150317_000292	Ataque Físico, Perfurar, Propriedade de Trevas de [Cão de Caça]
SKILL_20150317_000293	Ataque Físico, Golpe, Propriedade de Trevas de [Stoulet]
SKILL_20150317_000294	Ataque Físico, Corte, Propriedade de Trevas de [Lutador de Prisão]
SKILL_20150317_000295	Ataque Físico, Corte, Propriedade de Veneno de [Caro]
SKILL_20150317_000296	Ataque Físico, Golpe, Propriedade de Trevas, Colisão de [Verme]
SKILL_20150317_000297	Ataque Físico, Perfurar, Propriedade de Trevas de [Caçador Vubbe]
SKILL_20150317_000298	Ataque Mágico, Magia, Propriedade de Fogo de [Medusa Vermelha]
SKILL_20150317_000299	Ataque Mágico, Magia, Propriedade de Trevas de [Avatar de Helgasercle]
SKILL_20150317_000300	Ataque Físico, Golpe, Propriedade de Veneno de [Filibo]
SKILL_20150317_000301	Ataque Físico, Golpe, Propriedade de Elétrico, Fumaça de [Ellom]
SKILL_20150317_000302	Ataque Físico, Golpe, Propriedade de Elétrico, Esmagar de [Ellom]
SKILL_20150317_000303	Ataque Físico, Corte, Propriedade de Fogo de [Guerreiro Javalomem]
SKILL_20150317_000304	Ataque de Alcance, Perfurar, Propriedade de Elétrico de [Arqueiro Javalomem]
SKILL_20150317_000305	Ataque Mágico, Magia, Propriedade de Fogo de [Xamã Javalomem]
SKILL_20150317_000306	Ataque Mágico, Magia, Propriedade de Gelo, Força de Alcance de [Xamã Merog]
SKILL_20150317_000307	Ataque de Alcance, Perfurar, Propriedade de Veneno, Disparo de Ferrão Venenoso de [Ferrão Merog]
SKILL_20150317_000308	Ataque Mágico, Magia, Propriedade de Fogo, Muralha de Fogo de [Xamã Javalomem]
SKILL_20150317_000309	Ataque Mágico, Magia, Propriedade de Gelo, Golpe de Bengala Progressivo de [Xamã Merog]
SKILL_20150317_000310	Ataque Físico, Golpe, Propriedade de Fogo, Repulsão de Escudo de [Guerreiro Javalomem]
SKILL_20150317_000311	Bônus, Magia, Propriedade de Fogo, Aumento de Bloqueio de [Guerreiro Javalomem]
SKILL_20150317_000312	Ataque de Alcance, Perfurar, Propriedade de Veneno, Saltar e Disparar Ferrão Venenoso de [Ferrão Merog]
SKILL_20150317_000313	Ataque Físico, Corte, Propriedade de Trevas de [Comandante de Combate Javalomem]
SKILL_20150317_000314	Ataque Físico, Perfurar, Propriedade de Trevas de [Comandante de Combate Javalomem]
SKILL_20150317_000315	Invocar Monstro de [Comandante de Combate Javalomem]
SKILL_20150317_000316	Ataque Físico, Golpe, Propriedade de Elétrico de [Lagartomem]
SKILL_20150317_000317	Ataque Físico, Golpe, Propriedade de Trevas de [Chupaluka]
SKILL_20150317_000318	Ataque Físico, Perfurar, Propriedade de Elétrico de [Elloverme]
SKILL_20150317_000319	Ataque Físico, Perfurar, Propriedade de Elétrico de [Ellogua]
SKILL_20150317_000320	Ataque de Alcance, Magia, Propriedade de Elétrico de [Ellogua]
SKILL_20150317_000321	Ataque Físico, Corte, Propriedade de Fogo de [Wendigo]
SKILL_20150317_000322	Ataque Físico, Golpe, Propriedade de Elétrico, Investida e Cabeçada de [Lagartomem]
SKILL_20150317_000323	Ataque Mágico, Magia, Propriedade de Fogo, Penalidade de Fogo de [Kepari]
SKILL_20150317_000324	Ataque Físico, Golpe, Propriedade de Veneno de [Kodomor]
SKILL_20150317_000325	Ataque Físico, Golpe, Propriedade de Terra de [Kowak]
SKILL_20150317_000326	Ataque Físico, Perfurar, Propriedade de Veneno, Fumaça de [Grolsnador]
SKILL_20150317_000327	Ataque Físico, Perfurar, Propriedade de Veneno, Chifrada de [Grolsnador]
SKILL_20150317_000328	Ataque Físico, Golpe, Propriedade de Trevas de [Chupacabra]
SKILL_20150317_000329	Ataque Físico, Golpe, Propriedade de Terra de [Owo]
