QUEST_LV_0100_20150317_000001	$Sentinela
QUEST_LV_0100_20150317_000017	$As rações estão na Primeira Base de Suprimento, você pode chegar lá pela Estrada do lado superior.{nl}Traga quaisquer sobras que conseguir encontrar... 
QUEST_LV_0100_20150317_000018	$Eu anotei quem é Sparnas. Talvez seja útil no futuro.{nl}Apesar de não parecer hoje em dia, eu era um biólogo quatro anos atrás.
QUEST_LV_0100_20150317_000019	$Por favor, entregue esse relatório a Luders.{nl}Ele deve estar no Acampamento Central de Suprimentos.
QUEST_LV_0100_20150317_000020	$Oficial Luders
QUEST_LV_0100_20150317_000021	$Ah, você deve ser a pessoa a quem todos chamam de Revelador. Prazer em te conhecer.{nl}Esse é o relatório de Block?{nl}
QUEST_LV_0100_20150317_000022	$Hmm... É isso então?{nl}Eles apenas destruíram os suprimentos e fugiram. Mesmo que Chupacabras tivessem asas, estou certo que não seriam capazes disso.{nl}
QUEST_LV_0100_20150317_000023	$Isso não é suficiente.{nl}Me desculpe, mas por favor nos traga o relatório de Moody, na Trilha Curvada de Amzina.
QUEST_LV_0100_20150317_000024	$Fico mais à vontade com Luders aqui.
QUEST_LV_0100_20150317_000025	$Soldado York
QUEST_LV_0100_20150317_000026	$Shaulems estão atravessando a estrada.{nl}Eu mesmo estou em pânico, nem sei o que fazer.{nl}Estou certo que Luders não permitirá que isso aconteça... O que devemos fazer agora?
QUEST_LV_0100_20150317_000027	$Você acha que o problema será resolvido só derrotando Sparnas?
QUEST_LV_0100_20150317_000028	$Valeu pela ajuda, acho que consigo me acalmar agora.{nl}Mas... Esse tipo de coisa não vai acontecer de novo? O que farei nesse caso...?
QUEST_LV_0100_20150317_000029	$Sparnas? Não temos uma resposta clara sobre isso.{nl}Ele apenas surgiu do céu sem avisar e destruiu todos os nossos suprimentos. E desapareceu imediatamente logo depois.{nl}Dá dor de cabeça só de ouvir seus gritos.
QUEST_LV_0100_20150317_000030	$O lugar que acabei de mencionar é o Segundo Armazém de Suprimento.{nl}É deprimente pensar que essas coisas se repetirão no futuro.
QUEST_LV_0100_20150317_000031	$Aqui, para você. Fiz uma isca com grãos velhos dos suprimentos.{nl}Vou atrair ele dali de cima, então fique aqui.{nl}Sparnas aparecerá em um desses dois lugares, com certeza. Não o deixe escapar. Não falhe em destruí-lo.{nl}
QUEST_LV_0100_20150317_000032	$Talvez não tenhamos uma segunda chance para derrotá-lo desta vez.{nl}Não parecem ser idiotas.
QUEST_LV_0100_20150317_000033	${memo X}Ouvi sons de luta, então vim correndo. Conseguiu derrotá-lo?{nl}Só vi Shaulems onde eu estava.{nl}Obrigado. Você realizou um feito digno de mérito.
QUEST_LV_0100_20150317_000034	$General Adjunto Paulina
QUEST_LV_0100_20150317_000035	$Precisamos recuperar os suprimentos roubados.{nl}Não podemos dizer que somos soldados do reino se ficarmos de braços cruzados.{nl}
QUEST_LV_0100_20150317_000036	$Os suprimentos roubados foram levados por Shaulems a todos Armazéns de Suprimento, recupere os suprimentos e entregue-os a Volda.
QUEST_LV_0100_20150317_000037	$Não aguento mais essa situação.{nl}Os reforços devem estar chegando em breve, mas o que podemos esperar de um reino tão incompetente?
QUEST_LV_0100_20150317_000038	$General Adjunto Volda
QUEST_LV_0100_20150317_000039	$Agradeço muito, mas você deve ter mais o que fazer.{nl}Além do mais, não dá para só ficar aqui esperando sem fazer nada. Nosso plano é continuar atacando.
QUEST_LV_0100_20150317_000040	$Guardião Secreto
QUEST_LV_0100_20150317_000041	$A deusa previu isso.{nl}Nada pode escapar de sua visão.
QUEST_LV_0100_20150317_000042	$Oficial de Intermediação Niels
QUEST_LV_0100_20150317_000043	$Olá.{nl}Você viu um senhor de idade perdido?{nl}O nome dele é Jonas.{nl}
QUEST_LV_0100_20150317_000044	$Você não o viu?{nl}Bem, onde será que esse frágil idoso foi se meter?
QUEST_LV_0100_20150317_000045	$Jonas é descendente da família que vem protegendo esse Mausoléu.{nl}Ele é alguém muito importante para a equipe do nosso laboratório, então cuide bem dele.
QUEST_LV_0100_20150317_000046	$Arquivista Jonas
QUEST_LV_0100_20150317_000047	$Nossa família vem esperando por você faz muito tempo.{nl}Chegou a hora de te dar algo que estamos protegendo.
QUEST_LV_0100_20150317_000048	$Fico feliz em saber que Jonas recobrou a consciência.{nl}Foi você que ativou o sinal luminoso, certo?{nl}
QUEST_LV_0100_20150317_000049	$Ahylas veio se encontrar com quem acendeu o sinal.{nl}Você o encontrará no andar de baixo.
QUEST_LV_0100_20150317_000050	$Não ouvimos nada sobre Kepeck já faz um bom tempo, desde que o enviamos atrás dos suprimentos.{nl}Não temos gente suficiente para organizar uma busca, então, por favor, nos ajude a encontrá-lo.
QUEST_LV_0100_20150317_000051	$Historiador Viode
QUEST_LV_0100_20150317_000052	$Nunca baixe a guarda, monstros podem atacar a qualquer instante.{nl}Especialmente em um lugar com esse.
QUEST_LV_0100_20150317_000053	$Mercenário Mirta
QUEST_LV_0100_20150317_000054	${memo X}Já não te avisei?{nl}Tome cuidado da próxima vez.
QUEST_LV_0100_20150317_000055	$Historiador Kepeck
QUEST_LV_0100_20150317_000056	$Niels deve ter enviado você.{nl}Bem, já que está com pressa, arquive você mesmo e leve de volta a Niels.
QUEST_LV_0100_20150317_000057	$Se seguir em frente, pegue a estrada à sua direita e cruze a ponte, você verá os artefatos do Grande Rei Zachariel.{nl}Arquive-os e leve os arquivos de volta para Niels. Ele vai entender.
QUEST_LV_0100_20150317_000058	$Então, esse é o arquivo de Kepeck... O Mercenário Mirta estava procurando isso.{nl}Você ajudou a confirmar o bem-estar de duas pessoas. Agradeço por seus esforços.
QUEST_LV_0100_20150317_000059	$Ahylas Jonas
QUEST_LV_0100_20150317_000060	${memo X}Agora, leve a pedra de deslacrar e vá ao Cânion do Pilar Quebrado. {nl}O Discípulo de Gustas te ensinará como romper o lacre lá.
QUEST_LV_0100_20150317_000061	${memo X}Não recebeu ordens ainda?{nl}Leve isso ao Discípulo de Gustas no Cânion do Pilar Quebrado.{nl}Foi feito para que só o escolhido possa entrar.
QUEST_LV_0100_20150317_000062	$Discípulo de Gustas
QUEST_LV_0100_20150317_000063	$Você rompeu o lacre no Penhasco Pagasa?{nl}Começará agora.
QUEST_LV_0100_20150317_000064	$Palavras talhadas na rocha
QUEST_LV_0100_20150317_000065	$Não toque ou empurre a rocha.
QUEST_LV_0100_20150317_000066	$Estava te esperando.{nl}O próximo lacre está no Sacrário Desabado.
QUEST_LV_0100_20150317_000067	$Você não faz ideia de como esperávamos ansiosos por esse momento.{nl}Queríamos muito conhecer você.
QUEST_LV_0100_20150317_000068	$Gustas Jonas
QUEST_LV_0100_20150317_000069	$É você.{nl}Sua valentia é ainda maior do que eu imaginava.
QUEST_LV_0100_20150317_000070	$Soldado Alan
QUEST_LV_0100_20150317_000071	$Mais recruta chegando?{nl}Recebi uma ordem para patrulhar, mas acho que você pode ir no meu lugar.
QUEST_LV_0100_20150317_000072	$Nada mal para iniciante.{nl}Me lembro de algo horrível ter acontecido lá uma vez, então nem quero ir.
QUEST_LV_0100_20150317_000073	$Estou lembrando de algo...
QUEST_LV_0100_20150317_000074	${memo X}Você sabe que fomos enviados para cá para derrotar Gaigalas, né?{nl}Recruta. Você pode levar esse relatório ao Comandante Wallis?
QUEST_LV_0100_20150317_000075	$Comandante Wallace
QUEST_LV_0100_20150317_000076	$Por que trouxe esse relatório sem o Alan?{nl}Você virou recruta recentemente?
QUEST_LV_0100_20150317_000077	$Posso voltar para casa depois de derrotarmos Gaigalas.{nl}Bem, eu gostaria de voltar para casa o quanto antes.
QUEST_LV_0100_20150317_000078	$Comandante Wallace está na Encruzilhada da Pegada de Pássaro.
QUEST_LV_0100_20150317_000079	$Não me importo se não tem ninguém melhor que você. Aqui você é iniciante.{nl}Isso é uma ordem. Traga seiva de Invasores Kepa.
QUEST_LV_0100_20150317_000080	$Esses soldados de hoje em dia são todos medrosos.{nl}Espero que você tenha uma boa influência sobre eles.
QUEST_LV_0100_20150317_000081	$É óbvio que venceremos essa batalha.{nl}Por quê? Porque as Corujas estão ajudando.
QUEST_LV_0100_20150317_000082	$Os Invasores Kepa estão perto da Cachoeira Ianutis.{nl}Para derrotar Gaigalas, certamente vamos precisar delas.
QUEST_LV_0100_20150317_000083	$Soldado Weiz
QUEST_LV_0100_20150317_000084	$Ei, iniciante, está descansando?{nl}Vá pegar gordura de Patinhos no Jardim Lengvas.
QUEST_LV_0100_20150317_000085	$Vamos atrair Gaigalas usando Gordura de Patinho.{nl}Ei, iniciante, não enrola.
QUEST_LV_0100_20150317_000086	$Hoje a gente acaba com a raça de Gaigalas.{nl}Tudo pronto, iniciante?
QUEST_LV_0100_20150317_000087	$Agora, vamos pegar couro de Lagartóxicas no Jardim Lengvas.{nl}Rápido, soldado.
QUEST_LV_0100_20150317_000088	$Agora vamos vencer, com certeza.{nl}As deusas estão do nosso lado.
QUEST_LV_0100_20150317_000089	$Nada mal... para iniciante.{nl}Tá tudo uma bagunça agora, então pode ficar com esses ingredientes por enquanto.{nl}
QUEST_LV_0100_20150317_000090	$Vá se apresentar aos nossos soldados enquanto faço preparativos para a batalha.{nl}Te chamo antes de irmos confrontar Gaigalas.
QUEST_LV_0100_20150317_000091	$Quando queimarmos a Gordura de Patinho, Gaigalas aparecerá depois de sentir o odor.{nl}O Jardim Lengvas é um bom lugar para queimar isso.
QUEST_LV_0100_20150317_000092	$Meu coração tá disparando.{nl}É como se minha alma tremesse junto com ele.
QUEST_LV_0100_20150317_000093	$Escultura Antiga de Coruja
QUEST_LV_0100_20150317_000094	$Não há ninguém nessa floresta. Por que você está aqui?{nl}
QUEST_LV_0100_20150317_000095	$Gaigalas?{nl}Derrotá-lo sem ajuda será difícil.
QUEST_LV_0100_20150317_000096	$Vi muito morrerem aqui.{nl}E não quero testemunhar mais sacrifícios.
QUEST_LV_0100_20150317_000097	$Preciso de Seiva de Invasor Kepa e Couro de Lagartóxica.
QUEST_LV_0100_20150317_000098	$Por que você está com isso?{nl}Pode me dar e te farei um Fragmento de Memória.
QUEST_LV_0100_20150317_000099	$Com esse Fragmento de Memória, reviverei as memórias de nossos colegas adormecidos.
QUEST_LV_0100_20150317_000100	$Será difícil derrotá-lo sem um Fragmento de Memória.{nl}Por favor, me traga Chifres de Infratitular.
QUEST_LV_0100_20150317_000101	$Por que diabos você tem todos esses ingredientes?
QUEST_LV_0100_20150317_000102	${memo X}Essas são pessoas que já partiram deste mundo. {nl}Elas estão repetindo o que aconteceu naquela época por conta de sua ira com Gaigalas.
QUEST_LV_0100_20150317_000103	${memo X}Podemos acalmá-los se derrotarmos Gaigalas.{nl}Por favor, vá ver a Coruja Preocupada.
QUEST_LV_0100_20150317_000104	$Escultura da Coruja Preocupada
QUEST_LV_0100_20150317_000105	$Por favor, me ajude a despertar meus colegas e completar a magia daquele dia.{nl}Com o Fragmento de Memória.
QUEST_LV_0100_20150317_000106	$Eles podem ficar saciados.{nl}Permanecerei aqui, lembrando dos meus colegas.
QUEST_LV_0100_20150317_000107	$Você encontrará Gaigalas quando for à Via de Acesso Ishimtini.{nl}Por favor, vingue os soldados falecidos.
QUEST_LV_0100_20150317_000108	$Eu estava em um local isolado, não caí no sono.{nl}Mas observar tudo foi muito doloroso.
QUEST_LV_0100_20150317_000109	$Meus colegas foram atacados enquanto tentavam ajudar os soldados.
QUEST_LV_0100_20150317_000110	$Alguns símbolos começaram a aparecer no corpo de Jonas depois dele beber o remédio.
QUEST_LV_0100_20150317_000111	$Arqueólogo Dezic
QUEST_LV_0100_20150317_000112	$Estou procurando minha assistente, chamada Airine.{nl}Você pode derrotar os monstros aqui perto para eu poder procurá-la?
QUEST_LV_0100_20150317_000113	$Eu falei para ela não se empolgar, mesmo que encontrasse algo.{nl}E apesar de tudo, ela fez exatamente isso novamente.
QUEST_LV_0100_20150317_000114	$Obrigado.{nl}Vou procurar Airine.
QUEST_LV_0100_20150317_000115	$Mecânico Heinen
QUEST_LV_0100_20150317_000116	${memo X}Só quem tem uma licença pode andar nesse bondinho. Infelizmente terei de pedir que volte para o Planalto Vienesa.
QUEST_LV_0100_20150317_000117	${memo X}Mas se você derrotar os monstros que atrapalham esse local, eu vou pensar no assunto.
QUEST_LV_0100_20150317_000118	${memo X}Não é melhor usar o bondinho em vez de se ferir tentando passar pelo lugar com monstros? Claro, isso imaginando que você pode pegar o bondinho.
QUEST_LV_0100_20150317_000119	${memo X}Muito melhor do que eu esperava.{nl}Quero fazer uma proposta para você.
QUEST_LV_0100_20150317_000120	${memo X}
QUEST_LV_0100_20150317_000121	${memo X}
QUEST_LV_0100_20150317_000122	$Essa barreira... Hmm. Quando ela se formou?{nl}Já está lá faz algum tempo, mas não me lembro quanto, exatamente.{nl}
QUEST_LV_0100_20150317_000123	$Tenho certeza de que essa barreira foi responsável pelo aumento de monstros ultimamente.{nl}
QUEST_LV_0100_20150317_000124	$Não há guardas cuidando dessa região.{nl}Só gente louca para vir para cá hoje em dia.{nl}
QUEST_LV_0100_20150317_000125	$Rolandas Jonas
QUEST_LV_0100_20150317_000126	$Ninguém sabe o que o Grande Rei Zachariel tentou proteger.{nl}E tenho certeza de que não somos os únicos que querem desvendar esse mistério.
QUEST_LV_0100_20150317_000127	$Rápido, use a Chave do Grande Rei para liberar os lacres.{nl}Você deveria saber o que fazer em seguida.
QUEST_LV_0100_20150317_000128	$Encontrei Airine, mas não sei como resgatá-la.{nl}Ela está presa na 2a Ruína de Rodoma, mas não posso resgatá-la por conta própria...
QUEST_LV_0100_20150317_000129	$Assistente Airine
QUEST_LV_0100_20150317_000130	{memo X}Não posso me mover por conta da barreira.{nl}Por favor, quebre as três barreiras nas Ruínas de Rodoma.
QUEST_LV_0100_20150317_000131	$Não terminou ainda? Ah, putz...
QUEST_LV_0100_20150317_000132	$Não esperava ser presa nesse tipo de coisa.{nl}Ah, a encrenca que causei por perseguir aquele garoto.
QUEST_LV_0100_20150317_000133	$Mercenário Glen
QUEST_LV_0100_20150317_000134	$São tantos pesquisadores desaparecendo ultimamente...{nl}Estou tentando encontrar pistas derrotando Sauga. Que tal nos ajudar?
QUEST_LV_0100_20150317_000135	$Os Saugas dividem os espólios de forma justa entre eles.{nl}Talvez seja possível encontrar pistas com eles.
QUEST_LV_0100_20150317_000136	$Felizmente, são muito velhos.{nl}Então, isso quer dizer que esses casos não são culpa dos monstros.
QUEST_LV_0100_20150317_000137	$Esse é um lugar muito perigoso, onde muitos desaparecem devido aos monstros ou por pisar no lugar errado.{nl}Entretanto, essa não é parte interessante.{nl}
QUEST_LV_0100_20150317_000138	$Quando essas pessoas somem, ninguém se dá conta.{nl}É como se as memórias sobre os desaparecidos fossem apagadas. Esquisito, não acha?{nl}
QUEST_LV_0100_20150317_000139	{memo X}Por favor, derrote todos inimigos próximos para evitar que algo aconteça.{nl}Há relatos de que os monstros no 1o Sítio dos Arquitetos ficaram violentos.
QUEST_LV_0100_20150317_000140	$Fantástico.{nl}Estaremos seguros por enquanto.
QUEST_LV_0100_20150317_000141	{memo X}Monstros estão chegando!{nl}Eles provavelmente descobriram que fui libertado.
QUEST_LV_0100_20150317_000142	$As deusas te enviaram?{nl}Nunca imaginei que você iria me proteger.{nl}
QUEST_LV_0100_20150317_000143	$De onde veio aquele escorpião gigante? Isso é terrível!
QUEST_LV_0100_20150317_000144	$Deveria ir procurar Dezic.{nl}Espero te ver de novo no futuro.
QUEST_LV_0100_20150317_000145	$Alguém deve ter feito algo estranho com os monstros do Mausoléu Real.{nl}O que eles tinham na cabeça?
QUEST_LV_0100_20150317_000146	$Senhor, controle-se. Senhor!
QUEST_LV_0100_20150317_000147	$Novo Pesquisador
QUEST_LV_0100_20150317_000148	$Perdi meus materiais de pesquisa vitais na Velha Oficina Abandonada.{nl}Os monstros devem ter levado... Será melhor só desistir deles?
QUEST_LV_0100_20150317_000149	$Estou tão feliz em ver o Mausoléu Real com meus próprios olhos, mas os monstros... São tão assustadores...
QUEST_LV_0100_20150317_000150	$Muito obrigado.{nl}Você também deveria olhar o Repositório de Registros.
QUEST_LV_0100_20150317_000151	$A entrada do Mausoléu Real está escondida em algum lugar desse enorme cânion.{nl}O cânion começa aqui.
QUEST_LV_0100_20150317_000152	$Muitos especialistas vêm até aqui para realizar pesquisas no Mausoléu Real.{nl}Talvez seja possível encontrar pistas sobre Medzio Diena aqui.
QUEST_LV_0100_20150317_000153	$Por que existem tantos monstros no cânion, mas há pouca flora?
QUEST_LV_0100_20150317_000154	$E o meu pedido? Ainda não está pronto?
QUEST_LV_0100_20150317_000155	$Olhe com cuidado para o chão.{nl}Pode ter caído.
QUEST_LV_0100_20150317_000156	$Hmm, só esses?{nl}Bem, obrigado por achar pelo menos esses.{nl}Posso apenas copiar os outros desde o começo novamente.
QUEST_LV_0100_20150317_000157	$Niels te enviou?{nl}Eu não vou. Tenho que pesquisar essas flores selvagens.{nl}
QUEST_LV_0100_20150317_000158	$Acho que o que vi era uma ilusão.{nl}Devo recompensar você por proteger um mineralogista como eu.{nl}
QUEST_LV_0100_20150317_000159	$Sim.{nl}Traga meus arquivos que estão com Niels.
QUEST_LV_0100_20150317_000160	$Jonas falou para você trazer o arquivo dele?{nl}Certo. Em agradecimento, por favor, leve remédio para ele.{nl}
QUEST_LV_0100_20150317_000161	$O remédio vai ajudar a acalmar sua mente.{nl}Davio, do lado direito do Acampamento de Pesquisa, está com o remédio.
QUEST_LV_0100_20150317_000162	$Jonas é o chefe da família que protege o Mausoléu Real do Grande Rei Zachariel.{nl}Ele já foi muito saudável, mas hoje em dia está velho e fraco.{nl}
QUEST_LV_0100_20150317_000163	$Foi depois que Jonas saiu para uma visita com seu criado.{nl}Jonas foi encontrado com demência e o criado está desaparecido até hoje.
QUEST_LV_0100_20150317_000164	$Por favor, cuide bem de Jonas.{nl}Seria terrível se ele se ferisse.
QUEST_LV_0100_20150317_000165	$Davio está do lado direito do acampamento.{nl}Espero que o remédio funcione.
QUEST_LV_0100_20150317_000166	$Finalmente, me lembro de tudo.{nl}Sou o chefe da família que protege o Mausoléu Real... Quem é você?{nl}
QUEST_LV_0100_20150317_000167	$Revelador. Se esse é o desejo da deusa, então você deve ter a capacidade.{nl}Você tem um trabalho a fazer, então me siga até o Desfiladeiro da Colina do Farol.
QUEST_LV_0100_20150317_000168	$Deixei você e o Niels preocupados...
QUEST_LV_0100_20150317_000169	$Eu mostro o caminho e você cuida de quaisquer monstros que a gente encontre.{nl}Estou contando com você.
QUEST_LV_0100_20150317_000170	$A hora é agora. Por favor, siga adiante até o Desfiladeiro da Colina do Farol.
QUEST_LV_0100_20150317_000171	{memo X}Tenho certeza de que você é capaz de cuidar disso.{nl}A Deusa Laima liderou todos eles.
QUEST_LV_0100_20150317_000172	$Finalmente, o tesouro oculto pode ser passado adiante para alguém.{nl}Sinto não ter te reconhecido antes devido à minha senilidade.
QUEST_LV_0100_20150317_000173	$O Grande Rei Zachariel nos instruiu a confiar seu tesouro oculto a uma pessoa qualificada.{nl}Você pode confirmar sua aptidão com os Olhos do Grande Rei.
QUEST_LV_0100_20150317_000174	$Temos mais uma responsabilidade além de proteger o Mausoléu Real.{nl}Proteger a herança até que uma pessoa qualificada apareça.{nl}
QUEST_LV_0100_20150317_000175	$Não sabemos exatamente o que é o tesouro oculto.{nl}O rei só nos disse para protegê-lo, então estamos apenas seguindo essa ordem.
QUEST_LV_0100_20150317_000176	$Vendedor de Remédio
QUEST_LV_0100_20150317_000177	$Hmm... Bem, tem uma erva que só cresce ao redor do Campo de Metos.{nl}Por favor, traga-a para mim.
QUEST_LV_0100_20150317_000178	$O Campo de Metos é o melhor lugar para despertar a consciência de alguém. Especialmente para um idoso.
QUEST_LV_0100_20150317_000179	$Muito bem. Você é bem sagaz, não é?{nl}
QUEST_LV_0100_20150317_000180	$Ótimo, está pronto.{nl}Leve isso para Davio.
QUEST_LV_0100_20150317_000181	$Comerciante Davio
QUEST_LV_0100_20150317_000182	$Trouxe o remédio do senhor de idade. {nl}Mas levou um esforço enorme para obtê-lo. Eu devia cobrar mais de você.{nl}
QUEST_LV_0100_20150317_000183	{memo X}O ouro que aquele Líquenclope tem nessa cidade bastará.{nl}Leve isso para o Vendedor de Remédio na Rodovia Kapas.
QUEST_LV_0100_20150317_000184	$Isso bastará. Foi Davio que te enviou, né?{nl} Ainda preciso de mais um ingrediente para fazer o remédio funcionar direito.
QUEST_LV_0100_20150317_000185	$Para criar o remédio, precisava descobrir a causa dos sintomas de Jonas, e isso me levou à loucura.{nl}Curiosamente, foi causado por um feitiço usado há muito tempo atrás.{nl}
QUEST_LV_0100_20150317_000186	$Ouvi um rumor de que o Grande Rei Zachariel apagou as memórias de todos trabalhadores depois de construir o Mausoléu Real.{nl}Esse deve ser o feitiço conjurado em Jonas, apesar dele também ser um pouco senil.
QUEST_LV_0100_20150317_000187	$Foi difícil arranjar o remédio daquele senhor.{nl}Mas não há nada que eu não consiga arranjar.
QUEST_LV_0100_20150317_000188	$Estará pronto depois que você derreter o mel que tem. Leve com você.
QUEST_LV_0100_20150317_000189	$Aquele remédio funciona bem. Faça ele engoli-lo de algum jeito.
QUEST_LV_0100_20150317_000190	$Você demorou.{nl}Trouxe meu arquivo?
QUEST_LV_0100_20150317_000191	$Vá à Antiga Oficina Abandonada.{nl}Tem um senhor de idade perambulando por lá. Acho que é o Jonas.
QUEST_LV_0100_20150317_000192	$O que é isso? Tem cheiro de hidromel!
QUEST_LV_0100_20150317_000193	{memo X}Que tontura.{nl}O que estou fazendo aqui, afinal de contas?
QUEST_LV_0100_20150317_000194	$Que alívio saber que você me encontrou.{nl}Quando os monstros me perseguiam, perdi minhas coisas e todos os materiais.{nl}Você poderia, pelo menos, me ajudar a encontrar os materiais espalhados?
QUEST_LV_0100_20150317_000195	$Não tenho muito a dizer como um humilde mercenário.{nl}Apesar de estar bem, mesmo durante Medzio Diena, estou certo que esse lugar é amaldiçoado.{nl}
QUEST_LV_0100_20150317_000196	$Quanto tempo faz desde que vim para cá?{nl}Onde está Mirta e quem é você?
QUEST_LV_0100_20150317_000197	$Estou tentando lembrar algo, mas me escapa toda vez que chego perto.
QUEST_LV_0100_20150317_000198	$Vaidotas
QUEST_LV_0100_20150317_000199	{memo X}$Esse cheiro... Acho que o dispositivo de filtragem na mina quebrou.{nl}Melhor consertá-lo logo. Os habitantes raptados podem morrer sufocados.
QUEST_LV_0100_20150317_000200	$Você conhece a lenda de Cunningham?{nl}A lenda diz que um grande demônio está aprisionado aqui na Mina de Cristal.{nl}Existe um livro com mais detalhes no Local de Descanso dos Trabalhadores, na Mina de Cristal 2A.{nl}
QUEST_LV_0100_20150317_000201	{memo X}$De qualquer forma, acredito que o demônio esteja despertando novamente e controlando os Vubbes.{nl}O sonho do bispo e a Lenda de Cunningham... Sinto que tudo isso é sinal de que algo sério está prestes a acontecer.{nl}
QUEST_LV_0100_20150317_000202	$Apenas a deusa sabe se será esperança ou aflição.{nl}
QUEST_LV_0100_20150317_000203	$O filtro pode ser reparado com facilidade por qualquer um, mas será difícil achar as peças necessárias.{nl}Nesse caso, use a bússola que te dei para procurá-las.{nl}
QUEST_LV_0100_20150317_000204	$Bem, tenho coisas a fazer, então encontro você no 3o Andar da Mina de Cristal.{nl}Em nome da deusa, rezo pelo seu sucesso em suas empreitadas.
QUEST_LV_0100_20150317_000205	$Se não conseguir achar as peças para consertar o filtro, use a bússola que te dei.{nl}Vai ajudar a encontrá-las.
QUEST_LV_0100_20150317_000206	$Tia da Vila
QUEST_LV_0100_20150317_000207	$Você veio nos salvar? Né?
QUEST_LV_0100_20150317_000208	$Tá tudo bem, vamos ficar bem agora!
QUEST_LV_0100_20150317_000209	$Garota da Vila
QUEST_LV_0100_20150317_000210	$Por favor, nos ajude. Eu imploro...
QUEST_LV_0100_20150317_000211	$Por favor, me solte. Por favor...
QUEST_LV_0100_20150317_000212	$Sr. Juan
QUEST_LV_0100_20150317_000213	$Fico furioso quando vejo aqueles Vubbes que arruinaram minha cidade natal.{nl}É por isso que quero ajudar gente como você, que luta contra Vubbes.
QUEST_LV_0100_20150317_000214	$Já teria caído fora se não fosse minha cidade natal.{nl}Onde diabos esses Vubbes se escondiam antes de aparecerem?
QUEST_LV_0100_20150317_000215	$Farmacêutica
QUEST_LV_0100_20150317_000216	$Obrigada pela sua ajuda da outra vez.{nl}Sem você, jamais teria conseguido tantos ingredientes.
QUEST_LV_0100_20150317_000217	{memo X}$Talvez a pessoa que a deusa enviou seja você.{nl}Você é a pessoa mais piedosa que já conheci dentre os Reveladores.
QUEST_LV_0100_20150317_000218	$Soldado Jace
QUEST_LV_0100_20150317_000219	{memo X}$Protegerei essa vila em nome de meus colegas mortos.
QUEST_LV_0100_20150317_000220	$Mesmo que o mundo mude, jamais perdoarei esses Vubbes.
QUEST_LV_0100_20150317_000221	$Soldado Edgar
QUEST_LV_0100_20150317_000222	$Essas são as rações que coletamos no Leste da Floresta Siauliai.{nl}Eu jamais perderei elas novamente. Nunca mais.
QUEST_LV_0100_20150317_000223	$Graças a você, recebi tudo isso de comida.{nl}Que alívio.
QUEST_LV_0100_20150317_000224	$Cavaleiro-Comandante Uska
QUEST_LV_0100_20150317_000225	$Esse chapa é a prova da salvação?{nl}Me parece só mais uma chapa antiga.
QUEST_LV_0100_20150317_000226	{memo X}$Pergunte ao prefeito da Vila dos Mineradores como chegar ao Platô do Véu da Folha.{nl}Mandarei a mensagem ao Mestre Paladino de antemão. {nl}Que a bênção da deusa esteja com você.
QUEST_LV_0100_20150317_000227	$Seria bom pedir para a Mestre Bokor interpretar essa chapa.{nl}Ela mora no fim da Área Residencial de Klaipeda, então vá visitá-la.
