QUEST_LV_0200_20150317_000001	$Soldado de Philipas
QUEST_LV_0200_20150317_000019	$Escultura da Coruja Sincera
QUEST_LV_0200_20150317_000020	$Esta floresta é amaldiçoada... Ela consome as corujas. {nl} Eu não tenho quase nada para instigar a coragem dos outros.
QUEST_LV_0200_20150317_000021	$Desde que aquela árvore enorme surgiu de repente, esta floresta mudou para algo horrível. {nl} Mesmo as raízes das árvores assustam qualquer um que as olhe.
QUEST_LV_0200_20150317_000022	$Escultura da Coruja Devotada
QUEST_LV_0200_20150317_000023	$Alguém foi aprisionado. {nl} Tenho a sensação de que ele vai desaparecer...
QUEST_LV_0200_20150317_000024	$A força sagrada criada pela Deusa não foi dissipada completamente. {nl}Será capaz de suprimir esta devastação? {nl}
QUEST_LV_0200_20150317_000025	$O chefe me deu poder. {nl}Eu não vou me assustar.
QUEST_LV_0200_20150317_000026	$Eu não vou mais ter medo. Eu jamais serei devorada por monstros.
QUEST_LV_0200_20150317_000027	$Escultura da Coruja Sofrida
QUEST_LV_0200_20150317_000028	$Estou sofrendo todos os dias. {nl}Talvez eu também seja devorada por monstros.
QUEST_LV_0200_20150317_000029	$Esta floresta está cada vez mais tomada por demônios. {nl}Onde está a Deusa?
QUEST_LV_0200_20150317_000030	$Eu fui escolhida pelo chefe... {nl} Farei o meu melhor para derrotar os monstros.
QUEST_LV_0200_20150317_000031	$O chefe também está se esforçando assim... {nl} Eu jamais serei devorada até o retorno da Deusa.
QUEST_LV_0200_20150317_000032	Coruja Subordinada 3
QUEST_LV_0200_20150317_000033	$Nós sempre estivemos neste lugar, mas onde está a Deusa que sempre cuidou de nós?
QUEST_LV_0200_20150317_000034	$Existimos apenas para guiar as almas humanas?
QUEST_LV_0200_20150317_000035	$Soldado Dominic
QUEST_LV_0200_20150317_000036	$Ordenaram que eu protegesse este lugar com a minha vida e que fizesse reconhecimento ao mesmo tempo. {nl}Não sei exatamente o que esperam que eu faça.
QUEST_LV_0200_20150317_000037	$Na próxima vez, vou me certificar que digam exatamente o que devo fazer. {nl}Não. Não seria melhor perguntar para o Julian?
QUEST_LV_0200_20150317_000038	$Se são apenas monstros desse nível, eu acho que posso reportar que não há nenhum problema sério. {nl}Ah, se você encontrar o Samson, diga a ele que pare de enrolar e continue patrulhando.
QUEST_LV_0200_20150317_000039	$Vou proteger esta área, então vá patrulhar a Encruzilhada Veltui. {nl}Quanto aos relatos, faço isso separadamente mais tarde.
QUEST_LV_0200_20150317_000040	$Soldado Samson
QUEST_LV_0200_20150317_000041	$Você pode me ajudar a encontrar o anel de noivado de Dominic? {nl} Estou no meio de uma missão agora, então não posso sair desse lugar.
QUEST_LV_0200_20150317_000042	$Vou te contar, ele faz isso mesmo que eu tenha comprado um meio parecido. Que mesquinho...
QUEST_LV_0200_20150317_000043	$Que coisa feia é essa? Ah, será que o anel está dentro?
QUEST_LV_0200_20150317_000044	$Uma faca não cabe aí dentro e não tem outro jeito de tirar. {nl}Ah, é! Não dá pra queimar e pegar o que tem dentro?
QUEST_LV_0200_20150317_000045	$Só tente trazer algumas que não sejam muito grossas.
QUEST_LV_0200_20150317_000046	$Essa deve estar boa. {nl}Ótimo. Mas como eu vou queimar isso durante o trabalho e não ser pego?
QUEST_LV_0200_20150317_000047	$Deve haver bastante Madeira Seca Espinhosa na beira do Penhasco Ishisineti. {nl}Estou patrulhando e não tenho tempo. Vou precisar de você de novo.
QUEST_LV_0200_20150317_000048	$Ah, você deve conseguir queimar secretamente no topo do Penhasco Ishisineti. {nl} Este é o meu último pedido. Você só precisa fazer os preparativos para o fogo.
QUEST_LV_0200_20150317_000049	$Nunca mais vou me importar com outra cerimônia de casamento.
QUEST_LV_0200_20150317_000050	$Só vou dizer que preciso ir ao banheiro e queimar secretamente ali. {nl}Muito obrigado.
QUEST_LV_0200_20150317_000051	$Soldado Poulter
QUEST_LV_0200_20150317_000052	$Minha nossa, a ordem manda eliminar todos os monstros dessa área! {nl}Como eu posso cuidar de tantos inimigos sozinho?
QUEST_LV_0200_20150317_000053	Era difícil demais cuidar dessa tarefa por conta própria. {nl}No entanto, tive muita sorte por você decidir me ajudar.
QUEST_LV_0200_20150317_000054	$Quase me desidratei de chorar! {nl}Muito obrigado por sua ajuda.
QUEST_LV_0200_20150317_000055	$Comandante Julian
QUEST_LV_0200_20150317_000056	$Obrigado por sua ajuda! {nl} Se não tiver problema, gostaria de usar mais um pouco da sua força.{nl}
QUEST_LV_0200_20150317_000057	$Você pode ajudar a unidade do Comandante O'Rourke na Encruzilhada Veltui?
QUEST_LV_0200_20150317_000058	$Comandante O'Rourke
QUEST_LV_0200_20150317_000059	$Muito impressionante. {nl}Parece que devo uma bebida para o Julian.
QUEST_LV_0200_20150317_000060	Eu percebi enquanto observava a Árvore de Ferro. {nl} Que companheira excepcional ela seria.
QUEST_LV_0200_20150317_000061	$A unidade de O'Rourke foi esgotada em batalhas grandes e pequenas com a Árvore de Ferro. Seria um alívio se você se tornasse nossa força.
QUEST_LV_0200_20150317_000062	$Escultura da Coruja Substituta
QUEST_LV_0200_20150317_000063	{memo X}Quero ajudar a purificar a floresta espinhosa, mas não sou forte o bastante. Você poderia eliminar as Assombrações Arbóreas incomodando os soldados?
QUEST_LV_0200_20150317_000064	$Seria ótimo se mais pessoas pudessem ir e vir usando essa estrada como antes. {nl}Eu acho pessoas muito interessantes.
QUEST_LV_0200_20150317_000065	$Obrigado. Espero não estar causando problemas desnecessários por causa das minhas aspirações.
QUEST_LV_0200_20150317_000066	$Certo. Não temos recebido notícias sobre nossas forças na Rodovia Niurus. {nl}Peço que os encontre.
QUEST_LV_0200_20150317_000067	$Se não conseguir encontrá-los, volte para cá.
QUEST_LV_0200_20150317_000068	$Soldado Kallus
QUEST_LV_0200_20150317_000069	$Ainda há alguns dos nossos colegas adiante. {nl}Por favor, ajude-nos.
QUEST_LV_0200_20150317_000070	$Soldado Dainus
QUEST_LV_0200_20150317_000071	$A Árvore de Ferro nos atacou no Pântano Drieza. {nl}Ainda há soldados que não conseguiram escapar.{nl}
QUEST_LV_0200_20150317_000072	$Estou envergonhado por ter fugido sozinho.{nl}
QUEST_LV_0200_20150317_000073	$Escultura da Coruja Decidida
QUEST_LV_0200_20150317_000074	$Tenho algo a lhe pedir. {nl}Estou preocupada com a dor e sofrimento dos soldados por causa das Larvarrancos.
QUEST_LV_0200_20150317_000075	Obrigado. {nl}Agora os nossos soldados podem trabalhar tranquilamente?
QUEST_LV_0200_20150317_000076	$Agradeço sua gentil ajuda. {nl}Um dia, vou retribuir o favor quando encontrar a sua forma de alma.
QUEST_LV_0200_20150317_000077	{memo X}Você é o famoso Revelador? {nl}Ótimo, tem alguma coisa me intrigando. Preciso da sua ajuda.
QUEST_LV_0200_20150317_000078	$Ah, agora eu recebi a ordem. {nl}Volte para o Comandante Julian.
QUEST_LV_0200_20150317_000079	$Estou colhendo informações sobre a Árvore de Ferro. {nl}Para chegar à Passagem do Grande Rei, precisamos derrotar esse monstro primeiro.
QUEST_LV_0200_20150317_000080	$Obrigado. {nl}Volte após levar essa ordem a Poulter na Colina Zaizda.
QUEST_LV_0200_20150317_000081	$Traga os bons e velhos tempos de volta.{nl} Quando não havia espinhos.
QUEST_LV_0200_20150317_000082	$Se o caminho para a Passagem do Grande Rei estiver seguro, vou poder ver mais pessoas.{nl}
QUEST_LV_0200_20150317_000083	$Em todo esse tempo, eu já vi de tudo. {nl}Agora só quero que a alegria seja vista.
QUEST_LV_0200_20150317_000084	$Por que as almas humanas contêm tantas coisas?
QUEST_LV_0200_20150317_000085	$Se encontrarmos monstros, não vamos ter outra escolha senão lutar.
QUEST_LV_0200_20150317_000086	$Estamos tentando chegar até a Passagem do Grande Rei. {nl}Você ouviu as notícias sobre a Árvore de Ferro?
QUEST_LV_0200_20150317_000087	$Para ser um líder de grupo, você deve ter princípios inabaláveis.
QUEST_LV_0200_20150317_000088	$Tentar chegar até a Passagem do Grande Rei é realmente imprudente. {nl}Porém, não podemos desobedecer à ordem.
QUEST_LV_0200_20150317_000089	$Pode parecer ruim à primeira vista, mas os dois comandantes têm um relacionamento surpreendentemente bom.
QUEST_LV_0200_20150317_000090	$Eu me sinto tão solitário sem ninguém aqui. {nl}Já faz muito tempo que conheci gente nova.
QUEST_LV_0200_20150317_000091	O que deseja fazer aqui nessa floresta vazia? Não acredito, o caminho está disponível?
QUEST_LV_0200_20150317_000092	$Obrigado. {nl}Agora os soldados e meus colegas poderão dormir confortavelmente.
QUEST_LV_0200_20150317_000093	$Não consigo sentir meus braços e pernas. {nl}Estou tão estranho, mesmo que não esteja frio.
QUEST_LV_0200_20150317_000094	$Precisamos derrotar Gaigalas. {nl}Caso contrário, não vou poder dormir em paz.
QUEST_LV_0200_20150317_000095	$Vamos caçar Gaigalas em breve. {nl}Estou tão empolgado.
QUEST_LV_0200_20150317_000096	$Este rancor é tão triste. {nl}Também é triste não conseguirmos detê-lo.
QUEST_LV_0200_20150317_000097	$As perdas vão continuar se ninguém detiver os demônios.
QUEST_LV_0200_20150317_000098	Equipe de Investigação Conjunta de Fray
QUEST_LV_0200_20150317_000099	Eu sou Fray. {nl}Ouvindo a história, a situação parece ruim. {nl}Se as informações pesquisadas por você e Scott estiverem certas.
QUEST_LV_0200_20150317_000100	{nl}Então, vou precisar fazer alguma coisa. {nl}Por favor, derrote alguns Vubbes Vermelhos primeiro. Estão me incomodando ultimamente.
QUEST_LV_0200_20150317_000101	Por favor, eu lhe peço. .{nl}Não aguento mais nem ver a cor vermelha.
QUEST_LV_0200_20150317_000102	Ah, você os derrotou mesmo? {nl}Obrigado!
QUEST_LV_0200_20150317_000103	Descobri alguma coisa depois de falar com Scott.{nl}Há Homens-árvore, um tipo de estátua de árvore ambulante.{nl}Isso tem alguma relação com a casca de árvore que os Vubbes pegaram?
QUEST_LV_0200_20150317_000104	Aliás, ainda não temos notícias do Scott sobre um segundo relato.{nl}O que teria acontecido com nosso querido Scott? Hmm...
QUEST_LV_0200_20150317_000105	Uau, ótimo!{nl}Te devo uma. Obrigado!
QUEST_LV_0200_20150317_000106	Não é? Tenho algo a pedir.{nl} Homens-árvore estão aparecendo no Lote das Patas de Cervo ao longo do lado esquerdo.
QUEST_LV_0200_20150317_000107	Vou levar esse resumo de informações que Scott me deu e este fragmento para o meu superior. {nl}Aliás, ainda não tive notícias do Scott. Até o horário que Scott prometeu já passou há muito tempo. Usar o boato não é suficiente para a outra investigação?{nl}
QUEST_LV_0200_20150317_000108	Você poderia pegar o relato do Scott?{nl}Não se esqueça de repreendê-lo por não trabalhar!
QUEST_LV_0200_20150317_000109	Por favor, cuide do relato do Scott. Certo?{nl}Às vezes, ele é burro, mas também é bonitinho.
QUEST_LV_0200_20150317_000110	Eu não tenho rosto. Atualmente, tenho investigado em todo lugar para encontrar algo...{nl}Muito obrigado. Se você não...{nl} Ah, eu não quero pensar nisso.{nl}
QUEST_LV_0200_20150317_000111	Ops, chegou a hora.{nl}Desculpe, dê para o Fray em vez de mim.{nl}Nem sei por onde começar a limpar a bagunça que os Vubbes fizeram...
QUEST_LV_0200_20150317_000112	Ah, é o relato! {nl}Ótimo. E o que o Scott estava fazendo?{nl}
QUEST_LV_0200_20150317_000113	Sério? Ele não conseguiu dar conta de um único Vubbe e teve problemas.{nl}Que vergonha... Vou brigar com ele mais tarde!
QUEST_LV_0200_20150317_000114	Está tudo uma bagunça. {nl}Não consigo me concentrar nos Vubbes.{nl}Ele deve rir se vir isso.
QUEST_LV_0200_20150317_000115	Equipe de Investigação Conjunta de Fray
QUEST_LV_0200_20150317_000116	Ainda estamos tentando descobrir a verdade.{nl}Pegue isso. É um pergaminho de coleta de almas.{nl}
QUEST_LV_0200_20150317_000117	Após derrotar os Vubbes Vermelhos usando este pergaminho, as almas devem sair.{nl}Você deve colhê-las para mim. Então, os dados estarão quase prontos.
QUEST_LV_0200_20150317_000118	Não se esqueça da ordem. Você deve derrotar os Vubbes Vermelhos usando o pergaminho de coleta de almas. Certo?
QUEST_LV_0200_20150317_000119	Sobre a casca da árvore que o Vubbe pegou.{nl} Acho que posso combiná-la a algo como um espírito...{nl}Bom, dê essas notícias a Ukirt.
QUEST_LV_0200_20150317_000120	Equipe de Investigação Conjunta de Ukirt
QUEST_LV_0200_20150317_000121	Scott e Fray fizeram um bom trabalho. O que você acha?{nl}Eu não acho que os Vubbes possam criar a si mesmos.{nl}Vou precisar verificar o que eles fazem usando isso.{nl}
QUEST_LV_0200_20150317_000122	Talvez haja algo nas caixas de suprimentos que os soldados deixaram há muito tempo.{nl} Você encontrará algumas caixas velhas de suprimentos lá em cima.{nl}Você pode verificar? Se encontrarmos algumas pistas ali, podemos ter uma resposta.
QUEST_LV_0200_20150317_000123	Se você voltar por aonde veio, verá uma torre de vigia nas colinas. Espero que os monstros ainda não tenham chegado ali...
QUEST_LV_0200_20150317_000124	Eles estão mesmo planejando algo?{nl}Algo... está suspeito...
QUEST_LV_0200_20150317_000125	Os Vubbes quebraram as caixas de suprimentos e fugiram?{nl}Por quê? Eles estavam mesmo fazendo isso?{nl}Nem pensar, eles não são espertos o suficiente.{nl}
QUEST_LV_0200_20150317_000126	Ótimo! Vamos prestar atenção e resolver o problema!
QUEST_LV_0200_20150317_000127	Certo. Tudo pronto?{nl}
QUEST_LV_0200_20150317_000128	Antes de você chegar, vi Vubbes andando em grupos.{nl}Vá até o Penhasco Gebene e veja como a situação está.
QUEST_LV_0200_20150317_000129	$Os Vubbes sempre estiveram envolvidos com qualquer coisa que acontece aqui.{nl}Não pode ser só coincidência...
QUEST_LV_0200_20150317_000130	Eu acho... que entendi agora. {nl}Acho que era como uma grande fábrica criando monstros enormes chamados Espíritos da Floresta.{nl}
QUEST_LV_0200_20150317_000131	A bandeira dos Vubbes deve ter atraído os fantasmas.{nl}Eles poluíram as árvores e criaram monstros enormes.{nl}
QUEST_LV_0200_20150317_000132	Aquelas cascas de árvore devem ter sido os ingredientes para criar Espíritos da Floresta.{nl}Aqueles Vubbes nunca conseguiriam fazer isso sozinhos.{nl}Devem ter recebido ordens de alguém!
QUEST_LV_0200_20150317_000133	Podemos encontrar provas decisivas no local onde os Vubbes estão agrupados.{nl}Se Prey vir isso, vai gostar!
QUEST_LV_0200_20150317_000134	Vubbes não são muito espertos, então ele deve ter dado ordens simples.{nl}Como ele pode ter pensado em controlar aqueles Vubbes...?{nl}Não sei o que dizer. {nl}
QUEST_LV_0200_20150317_000135	Sei que aqueles Espíritos da Floresta são criados em vários lugares.{nl}Posso sentir energias perversas chegando. {nl}Primeiro, devemos destruir as bandeiras criando Espíritos da Floresta!
QUEST_LV_0200_20150317_000136	Saia assim que tudo estiver pronto. {nl}Por enquanto, o melhor a se fazer é deter a criação dos Espíritos da Floresta...
QUEST_LV_0200_20150317_000137	Acho que fizemos o nosso melhor por enquanto. {nl}Já que não podemos fazer nada em relação aos que já foram criados.
QUEST_LV_0200_20150317_000138	Sinto que a bandeira mais próxima daqui está perto da Rodovia Gatves.{nl}As árvores enormes que as pessoas viram devem ser Espíritos da Floresta.{nl}Como não percebi algo tão simples?
QUEST_LV_0200_20150317_000139	$Escultura da Séria Coruja Chefe
QUEST_LV_0200_20150317_000140	$Muito obrigado. {nl}As outras corujas devem ter ganhado confiança graças a você.
QUEST_LV_0200_20150317_000141	$Escultura da Coruja Fraca
QUEST_LV_0200_20150317_000142	$Era realmente tarde demais...{nl}Às vezes, a Deusa pode ser muito severa...
QUEST_LV_0200_20150317_000143	$Tenho um último pedido. {nl}Você pode queimar as Corujas para que descansem em paz?
QUEST_LV_0200_20150317_000144	$Acha que meus aliados podem chegar até a Deusa Ausrine em segurança?
QUEST_LV_0200_20150317_000145	$Agradeço muito. {nl}Primeiro, traga o Óleo das Caixas de Óleo no caminho para o Campo de Neuoder.
QUEST_LV_0200_20150317_000146	$Se não houver problema, preciso de mais ajuda.{nl}Enviei um mensageiro, mas graças ao último ataque, fiquei preocupado com ele.{nl}
QUEST_LV_0200_20150317_000147	$O mensageiro deve estar seguro... mas eu ainda me preocupo.
QUEST_LV_0200_20150317_000148	$Agradeço muito.{nl}Ele deve estar lá agora.
QUEST_LV_0200_20150317_000149	$O esquadrão foi enviado para recuperar a Floresta Kateen dos monstros.{nl}A entrada aqui para a Floresta Kateen é segura comparada a outras áreas. As outras áreas ainda devem ser recuperadas.{nl}
QUEST_LV_0200_20150317_000150	$Ao adentrar mais, há vários soldados no caminho com falta de suprimentos.{nl}Se uma pessoa conhecida como você puder ajudá-los, será ótimo.{nl}
QUEST_LV_0200_20150317_000151	$Mensageiro Caído
QUEST_LV_0200_20150317_000152	$A culpa é minha por achar que a entrada da Floresta Kateen era segura.{nl}Vou voltar para o acampamento após um rápido descanso.
QUEST_LV_0200_20150317_000153	$Ah, esta é a minha bolsa... Obrigado por me salvar.{nl}
QUEST_LV_0200_20150317_000154	$Só você pode me ajudar agora.{nl}Você pode falar para o Felix que a operação na Encruzilhada Peljeda já começou?{nl}{nl}
QUEST_LV_0200_20150317_000155	$Tem várias coisas estranhas que só podem ser vistas na Floresta Kateen.{nl}Assim como as esculturas de corujas de madeira.
QUEST_LV_0200_20150317_000156	$A operação? Ah, que mensageiro ignorante.{nl}Eu posso pegar isso no acampamento... Obrigado assim mesmo.{nl}
QUEST_LV_0200_20150317_000157	$Ah, o caminho de volta é escuro. Seria bom acender a fogueira de novo.
QUEST_LV_0200_20150317_000158	$Não há muita luz do sol na Floresta Kateen por causa da grande quantidade de árvores.{nl}Parece que fantasmas podem aparecer a qualquer momento.
QUEST_LV_0200_20150317_000159	$Certo, então o mensageiro está a salvo?{nl}Este lugar está seguro graças aos seus esforços.
QUEST_LV_0200_20150317_000160	$Vou descansar um pouco aqui.{nl}Tem algum lugar bom para se esconder?
QUEST_LV_0200_20150317_000161	$Por deixar o Saltimestre ultrapassar tanto as nossas linhas, devo chamar a atenção do encarregado por proteger este lugar.{nl}Obrigado mesmo assim. Você está mesmo à altura da sua reputação.{nl}
QUEST_LV_0200_20150317_000162	$Guarda Lyle
QUEST_LV_0200_20150317_000163	{memo X}Eu perdi muitos colegas nas Geadas de Pedra.{nl}Não entendo por que estou aqui para ajudar um Cronomante novato... tão incompetente.{nl}Além disso, não sabemos quando aqueles monstros violentos vão atacar aqui.
QUEST_LV_0200_20150317_000164	{memo X}Você pode se livrar dos monstros enquanto estamos protegendo aqui?
QUEST_LV_0200_20150317_000165	{memo X}É lamentável precisarmos cuidar daquela mulher agora.
QUEST_LV_0200_20150317_000166	{memo X}Agradeço. Podemos ficar seguros aqui por algum tempo.
QUEST_LV_0200_20150317_000167	{memo X}Há algumas semanas, nossos companheiros foram atacados enquanto dormiam por Geadas de Pedra.{nl}Após o mundo ter ficado assim, não temos tido muito apoio e precisamos esperar aqui.{nl}Os monstros estão atacando as vítimas petrificadas agora. Malditos sejam aqueles monstros!
QUEST_LV_0200_20150317_000168	{memo X}Se ainda houver companheiros petrificados, você pode ficar por perto e protegê-los por um tempo?
QUEST_LV_0200_20150317_000169	{memo X}Meu velho amigo Galen é uma das vítimas. {nl}Por favor, proteja-o.
QUEST_LV_0200_20150317_000170	{memo X}Agradeço muito. Espero que os reforços cheguem logo para que ele volte para a família, mesmo petrificado.
QUEST_LV_0200_20150317_000171	{memo X}Há vários documentos amaldiçoados e objetos impuros na Rua Ruklys.{nl}Também há vários ladrões atrás dessas coisas.{nl}Entre eles, os Ladrões Dico costumam atacar os guardas.
QUEST_LV_0200_20150317_000172	{memo X}Você pode derrotá-los no distrito militar?{nl}Se conseguir derrotá-los, vamos capturá-los.
QUEST_LV_0200_20150317_000173	{memo X}O último que nós capturamos disse que as estátuas de pedra estavam falando com ele.{nl}Faz sentido para você?
QUEST_LV_0200_20150317_000174	{memo X}Eu consegui prender vários ladrões com a sua ajuda.{nl}Obrigado.
QUEST_LV_0200_20150317_000175	$Guarda Nomabis
QUEST_LV_0200_20150317_000176	{memo X}Há alguns dias, os Ladrões Dico levaram nossos suprimentos.{nl}Eles devem ter levado às Ruínas de Adoração de Drasa. Como não posso sair daqui, acho que todos nós vamos morrer.
QUEST_LV_0200_20150317_000177	{memo X}Você pode recuperar os suprimentos perdidos?
QUEST_LV_0200_20150317_000178	{memo X}Há algumas décadas, os ladrões atacaram o acampamento de guarda e roubaram os suprimentos em segredo.
QUEST_LV_0200_20150317_000179	{memo X}Eles nos atraíram até a frente deles e roubaram os objetos por trás. Não havia como impedir o roubo.{nl}Eles queriam levar os objetos legalmente, então foram enviados para a forca.
QUEST_LV_0200_20150317_000180	{memo X}O número dos Ladrões Dico está aumentando.{nl}Eles estão muito próximos de monstros. Eu não sei se eles treinam esses monstros ou se tem mais alguma coisa que eu não sei.{nl}Ouvi dizer que os Cavaleiros de Kaliss foram atacados por eles.{nl}Talvez estejam indo atrás de Sabina. Ela só carrega coisas caras.
QUEST_LV_0200_20150317_000181	{memo X}Para evitar qualquer tipo de perigo, precisamos atacar antes que eles se movam.{nl}Vá até as Ruínas de Adoração de Drasa e derrote-os.
QUEST_LV_0200_20150317_000182	{memo X}A cidade que entrou em colapso há centenas de anos não tem recursos ou vidas a proteger.{nl}Na verdade, é como proteger ruínas. Também tem ladrões lá.
QUEST_LV_0200_20150317_000183	{memo X}Você deu uma lição neles. Muito bem.
QUEST_LV_0200_20150317_000184	{memo X}Há algumas semanas, os colegas que trabalhavam aqui foram atingidos pela Geada de Pedra e se tornaram estátuas de pedra na praça. {nl}Isso aconteceu porque estavam eliminando armadilhas que os ladrões colocaram, mas não conseguiram evitar. {nl}Ainda há várias armadilhas por aí. Encontramos uma recentemente. Você pode dar um jeito?
QUEST_LV_0200_20150317_000185	{memo X}O número dos Ladrões Dico pode ser maior que o número de guardas.
QUEST_LV_0200_20150317_000186	{memo X}Você encontrou monstros fora da área dos ladrões. Sinto muito por esse trabalho tão perigoso.
QUEST_LV_0200_20150317_000187	$Cronomante Sabina
QUEST_LV_0200_20150317_000188	{memo X}Várias coisas aconteceram aqui, mas como muito tempo se passou, precisamos de mais informações para descobrir a verdade.{nl}Você pode encontrar os registros na Rota do Portão e fazer cópias?
QUEST_LV_0200_20150317_000189	Tudo está sendo destruído com o passar do tempo.
QUEST_LV_0200_20150317_000190	{memo X}Obrigada. Isso é sobre o colapso da fortaleza.{nl}Eu devo investigar melhor para encontrar informações mais decisivas.
QUEST_LV_0200_20150317_000191	{memo X}Estou fazendo várias investigações, mas não consigo descobrir um incidente que ocorreu no passado por causa desses monstros.{nl}Você pode dar uma olhada no passado para mim?
QUEST_LV_0200_20150317_000192	{memo X}Use a lupa do tempo perto da Estrada Pergele. Então, você poderá ver o passado.
QUEST_LV_0200_20150317_000193	{memo X}Por favor, use isso com muito cuidado. É a única restante.
QUEST_LV_0200_20150317_000194	{memo X}O que diabos aconteceu? Não diga nada sobre o que você viu aqui fora.
QUEST_LV_0200_20150317_000195	{memo X}Para entender melhor as circunstâncias, não temos outro jeito senão ir à Fortaleza da Terra, o quartel-general de Ruklys.{nl}Mas não podemos entrar, pois os soldados do reino estão bloqueando a entrada.{nl}Eu tenho uma boa solução...
QUEST_LV_0200_20150317_000196	{memo X}O portal usado pelos restantes quando tentaram fugir da Fortaleza da Terra.{nl}Existem dez no total, de acordo com o registro.{nl}Quatro estão aqui. Você pode verificar se ainda estão ativados?
QUEST_LV_0200_20150317_000197	{memo X}Por causa do nosso plano, podemos ser enviados à forca.{nl}Por favor, mantenha segredo.
QUEST_LV_0200_20150317_000198	O portal no distrito militar é a nossa única esperança.
QUEST_LV_0200_20150317_000199	Caçador Talus
QUEST_LV_0200_20150317_000200	$Estou procurando alguns artefatos de Lydia Schaffen, que construiu a Torre das Estrelas.{nl}A famosa arqueira que atirou no peito de Ruklys.
QUEST_LV_0200_20150317_000201	$Guarda do Exército Real Retia
QUEST_LV_0200_20150317_000202	{memo X}Por causa da Geada de Pedra criada pela rebelião de Ruklys há algumas centenas de anos, a terra se tornou um deserto.
QUEST_LV_0200_20150317_000203	{memo X}Vamos permitir que você entre, pois os Cavaleiros de Kaliss pediram isso, mas fique à vista.
QUEST_LV_0200_20150317_000204	{memo X}Após o Medzio Diena, há 4 anos, Benas foi indicado como o comandante-chefe das forças aqui.{nl}Ele mandou tomar conta da estrada que leva à Fortaleza da Terra.
QUEST_LV_0200_20150317_000205	{memo X}Se você não estiver com pressa, derrote os monstros na área A.{nl}Será o primeiro passo para contribuir com a Deusa e o Reino...{nl}Claro, eu prometo boas recompensas.
QUEST_LV_0200_20150317_000206	{memo X}O Comandante Rebelde Ruklys e os cidadãos daqui têm um comportamento perverso,{nl}apesar das seleções do grande comerciante, o Premiê Eminente. O resultado é este lugar.
QUEST_LV_0200_20150317_000207	{memo X}Isso não é ruim. Talvez os guardas possam usar.
QUEST_LV_0200_20150317_000208	{memo X}Após o Medzio Diena, as Geadas de Pedra estão ocorrendo irregularmente.{nl}Por causa disso, perdemos muitos soldados nesse deserto.{nl}Nós implantamos os dispositivos de petrificação limitadamente na Praça da Lamentação. Checamos a frequência das geadas e movimentamos os soldados de acordo com elas.
QUEST_LV_0200_20150317_000209	{memo X}Verifique os dispositivos de petrificação se quiser ser leal ao Reino e receber sua determinação.
QUEST_LV_0200_20150317_000210	{memo X}Alguns monstros tentam atacar os soldados que mantêm os dispositivos. Tome cuidado.
QUEST_LV_0200_20150317_000211	{memo X}As Geadas de Pedra devem ser afastadas dos dois locais.{nl}Ouvi dizer que você é um Revelador bem famoso. {nl}Não é?
QUEST_LV_0200_20150317_000212	{memo X}Os monstros que atacam os soldados mantendo os dispositivos surgiram há alguns meses.{nl}Os soldados que conseguiram sobreviver nos disseram ser um pássaro gigante.{nl}Quando vimos os registros ilustrados do Reino, pareceu muito um Sparnas de Chifres.
