QUEST_LV_0200_20150317_000001	Soldado de Philipas
QUEST_LV_0200_20150317_000089	Pode parecer ruim ?primeira vista, mas os dois comandantes t? um relacionamento surpreendentemente bom.
QUEST_LV_0200_20150317_000090	Eu me sinto t? solit?io sem ningu? aqui. {nl}J?faz muito tempo que conheci gente nova.
QUEST_LV_0200_20150317_000091	O que deseja fazer aqui nessa floresta vazia? N? acredito, o caminho est?dispon?el?
QUEST_LV_0200_20150317_000092	Obrigado. {nl}Agora os soldados e meus colegas poder? dormir confortavelmente.
QUEST_LV_0200_20150317_000093	N? consigo sentir meus bra?s e pernas. {nl}Estou t? estranho, mesmo que n? esteja frio.
QUEST_LV_0200_20150317_000094	Precisamos derrotar Gaigalas. {nl}Caso contr?io, n? vou poder dormir em paz.
QUEST_LV_0200_20150317_000095	Vamos ca?r Gaigalas em breve. {nl}Estou t? empolgado.
QUEST_LV_0200_20150317_000096	Este rancor ?t? triste. {nl}Tamb? ?triste n? conseguirmos det?lo.
QUEST_LV_0200_20150317_000097	As perdas v? continuar se ningu? detiver os dem?ios.
QUEST_LV_0200_20150317_000098	Equipe de Investigao Conjunta de Fray
QUEST_LV_0200_20150317_000099	Eu sou Fray. {nl}Ouvindo a hist?ia, a situao parece ruim. {nl}Se as informaes pesquisadas por voc?e Scott estiverem certas.
QUEST_LV_0200_20150317_000100	{nl}Ent?, vou precisar fazer alguma coisa. {nl}Por favor, derrote alguns Vubbes Vermelhos primeiro. Est? me incomodando ultimamente.
QUEST_LV_0200_20150317_000101	Por favor, eu lhe pe?. .{nl}N? aguento mais nem ver a cor vermelha.
QUEST_LV_0200_20150317_000102	Ah, voc?os derrotou mesmo? {nl}Obrigado!
QUEST_LV_0200_20150317_000103	Descobri alguma coisa depois de falar com Scott.{nl}H?Homens-?vore, um tipo de est?ua de ?vore ambulante.{nl}Isso tem alguma relao com a casca de ?vore que os Vubbes pegaram?
QUEST_LV_0200_20150317_000104	Ali?, ainda n? temos not?ias do Scott sobre um segundo relato.{nl}O que teria acontecido com nosso querido Scott? Hmm...
QUEST_LV_0200_20150317_000105	Uau, ?imo!{nl}Te devo uma. Obrigado!
QUEST_LV_0200_20150317_000106	N? ? Tenho algo a pedir.{nl} Homens-?vore est? aparecendo no Lote das Patas de Cervo ao longo do lado esquerdo.
QUEST_LV_0200_20150317_000107	Vou levar esse resumo de informaes que Scott me deu e este fragmento para o meu superior. {nl}Ali?, ainda n? tive not?ias do Scott. At?o hor?io que Scott prometeu j?passou h?muito tempo. Usar o boato n? ?suficiente para a outra investigao?{nl}
QUEST_LV_0200_20150317_000108	Voc?poderia pegar o relato do Scott?{nl}N? se esque? de repreend?lo por n? trabalhar!
QUEST_LV_0200_20150317_000109	Por favor, cuide do relato do Scott. Certo?{nl}픰 vezes, ele ?burro, mas tamb? ?bonitinho.
QUEST_LV_0200_20150317_000110	Eu n? tenho rosto. Atualmente, tenho investigado em todo lugar para encontrar algo...{nl}Muito obrigado. Se voc?n?...{nl} Ah, eu n? quero pensar nisso.{nl}
QUEST_LV_0200_20150317_000111	Ops, chegou a hora.{nl}Desculpe, d?para o Fray em vez de mim.{nl}Nem sei por onde come?r a limpar a bagun? que os Vubbes fizeram...
QUEST_LV_0200_20150317_000112	Ah, ?o relato! {nl}?imo. E o que o Scott estava fazendo?{nl}
QUEST_LV_0200_20150317_000113	S?io? Ele n? conseguiu dar conta de um ?ico Vubbe e teve problemas.{nl}Que vergonha... Vou brigar com ele mais tarde!
QUEST_LV_0200_20150317_000114	Est?tudo uma bagun?. {nl}N? consigo me concentrar nos Vubbes.{nl}Ele deve rir se vir isso.
QUEST_LV_0200_20150317_000115	Equipe de Investigao Conjunta de Fray
QUEST_LV_0200_20150317_000116	Ainda estamos tentando descobrir a verdade.{nl}Pegue isso. ?um pergaminho de coleta de almas.{nl}
QUEST_LV_0200_20150317_000117	Ap? derrotar os Vubbes Vermelhos usando este pergaminho, as almas devem sair.{nl}Voc?deve colh?las para mim. Ent?, os dados estar? quase prontos.
QUEST_LV_0200_20150317_000118	N? se esque? da ordem. Voc?deve derrotar os Vubbes Vermelhos usando o pergaminho de coleta de almas. Certo?
QUEST_LV_0200_20150317_000119	Sobre a casca da ?vore que o Vubbe pegou.{nl} Acho que posso combin?la a algo como um esp?ito...{nl}Bom, d?essas not?ias a Ukirt.
QUEST_LV_0200_20150317_000120	Equipe de Investigao Conjunta de Ukirt
QUEST_LV_0200_20150317_000121	Scott e Fray fizeram um bom trabalho. O que voc?acha?{nl}Eu n? acho que os Vubbes possam criar a si mesmos.{nl}Vou precisar verificar o que eles fazem usando isso.{nl}
QUEST_LV_0200_20150317_000122	Talvez haja algo nas caixas de suprimentos que os soldados deixaram h?muito tempo.{nl} Voc?encontrar?algumas caixas velhas de suprimentos l?em cima.{nl}Voc?pode verificar? Se encontrarmos algumas pistas ali, podemos ter uma resposta.
QUEST_LV_0200_20150317_000123	Se voc?voltar por aonde veio, ver?uma torre de vigia nas colinas. Espero que os monstros ainda n? tenham chegado ali...
QUEST_LV_0200_20150317_000124	Eles est? mesmo planejando algo?{nl}Algo... est?suspeito...
QUEST_LV_0200_20150317_000125	Os Vubbes quebraram as caixas de suprimentos e fugiram?{nl}Por qu? Eles estavam mesmo fazendo isso?{nl}Nem pensar, eles n? s? espertos o suficiente.{nl}
QUEST_LV_0200_20150317_000126	?imo! Vamos prestar ateno e resolver o problema!
QUEST_LV_0200_20150317_000127	Certo. Tudo pronto?{nl}
QUEST_LV_0200_20150317_000128	Antes de voc?chegar, vi Vubbes andando em grupos.{nl}V?at?o Penhasco Gebene e veja como a situao est?
QUEST_LV_0200_20150317_000129	Os Vubbes sempre estiveram envolvidos com qualquer coisa que acontece aqui.{nl}N? pode ser s?coincid?cia...
QUEST_LV_0200_20150317_000130	Eu acho... que entendi agora. {nl}Acho que era como uma grande f?rica criando monstros enormes chamados Esp?itos da Floresta.{nl}
QUEST_LV_0200_20150317_000131	A bandeira dos Vubbes deve ter atra?o os fantasmas.{nl}Eles polu?am as ?vores e criaram monstros enormes.{nl}
QUEST_LV_0200_20150317_000132	Aquelas cascas de ?vore devem ter sido os ingredientes para criar Esp?itos da Floresta.{nl}Aqueles Vubbes nunca conseguiriam fazer isso sozinhos.{nl}Devem ter recebido ordens de algu?!
QUEST_LV_0200_20150317_000133	Podemos encontrar provas decisivas no local onde os Vubbes est? agrupados.{nl}Se Prey vir isso, vai gostar!
QUEST_LV_0200_20150317_000134	Vubbes n? s? muito espertos, ent? ele deve ter dado ordens simples.{nl}Como ele pode ter pensado em controlar aqueles Vubbes...?{nl}N? sei o que dizer. {nl}
QUEST_LV_0200_20150317_000135	Sei que aqueles Esp?itos da Floresta s? criados em v?ios lugares.{nl}Posso sentir energias perversas chegando. {nl}Primeiro, devemos destruir as bandeiras criando Esp?itos da Floresta!
QUEST_LV_0200_20150317_000136	Saia assim que tudo estiver pronto. {nl}Por enquanto, o melhor a se fazer ?deter a criao dos Esp?itos da Floresta...
QUEST_LV_0200_20150317_000137	Acho que fizemos o nosso melhor por enquanto. {nl}J?que n? podemos fazer nada em relao aos que j?foram criados.
QUEST_LV_0200_20150317_000138	Sinto que a bandeira mais pr?ima daqui est?perto da Rodovia Gatves.{nl}As ?vores enormes que as pessoas viram devem ser Esp?itos da Floresta.{nl}Como n? percebi algo t? simples?
QUEST_LV_0200_20150317_000139	Escultura da S?ia Coruja Chefe
QUEST_LV_0200_20150317_000140	Muito obrigado. {nl}As outras corujas devem ter ganhado confian? gra?s a voc?
QUEST_LV_0200_20150317_000141	Escultura da Coruja Fraca
QUEST_LV_0200_20150317_000142	Era realmente tarde demais...{nl}픰 vezes, a Deusa pode ser muito severa...
QUEST_LV_0200_20150317_000143	Tenho um ?timo pedido. {nl}Voc?pode queimar as Corujas para que descansem em paz?
QUEST_LV_0200_20150317_000144	Acha que meus aliados podem chegar at?a Deusa Ausrine em seguran??
QUEST_LV_0200_20150317_000145	Agrade? muito. {nl}Primeiro, traga o ?eo das Caixas de ?eo no caminho para o Campo de Neuoder.
QUEST_LV_0200_20150317_000146	Se n? houver problema, preciso de mais ajuda.{nl}Enviei um mensageiro, mas gra?s ao ?timo ataque, fiquei preocupado com ele.{nl}
QUEST_LV_0200_20150317_000147	O mensageiro deve estar seguro... mas eu ainda me preocupo.
QUEST_LV_0200_20150317_000148	Agrade? muito.{nl}Ele deve estar l?agora.
QUEST_LV_0200_20150317_000149	O esquadr? foi enviado para recuperar a Floresta Kateen dos monstros.{nl}A entrada aqui para a Floresta Kateen ?segura comparada a outras ?eas. As outras ?eas ainda devem ser recuperadas.{nl}
QUEST_LV_0200_20150317_000150	Ao adentrar mais, h?v?ios soldados no caminho com falta de suprimentos.{nl}Se uma pessoa conhecida como voc?puder ajud?los, ser??imo.{nl}
QUEST_LV_0200_20150317_000151	Mensageiro Ca?o
QUEST_LV_0200_20150317_000152	A culpa ?minha por achar que a entrada da Floresta Kateen era segura.{nl}Vou voltar para o acampamento ap? um r?ido descanso.
QUEST_LV_0200_20150317_000153	Ah, esta ?a minha bolsa... Obrigado por me salvar.{nl}
QUEST_LV_0200_20150317_000154	S?voc?pode me ajudar agora.{nl}Voc?pode falar para o Felix que a operao na Encruzilhada Peljeda j?come?u?{nl}{nl}
QUEST_LV_0200_20150317_000155	Tem v?ias coisas estranhas que s?podem ser vistas na Floresta Kateen.{nl}Assim como as esculturas de corujas de madeira.
QUEST_LV_0200_20150317_000156	A operao? Ah, que mensageiro ignorante.{nl}Eu posso pegar isso no acampamento... Obrigado assim mesmo.{nl}
QUEST_LV_0200_20150317_000157	Ah, o caminho de volta ?escuro. Seria bom acender a fogueira de novo.
QUEST_LV_0200_20150317_000158	N? h?muita luz do sol na Floresta Kateen por causa da grande quantidade de ?vores.{nl}Parece que fantasmas podem aparecer a qualquer momento.
QUEST_LV_0200_20150317_000159	Certo, ent? o mensageiro est?a salvo?{nl}Este lugar est?seguro gra?s aos seus esfor?s.
QUEST_LV_0200_20150317_000160	Vou descansar um pouco aqui.{nl}Tem algum lugar bom para se esconder?
QUEST_LV_0200_20150317_000161	Por deixar o Saltimestre ultrapassar tanto as nossas linhas, devo chamar a ateno do encarregado por proteger este lugar.{nl}Obrigado mesmo assim. Voc?est?mesmo ?altura da sua reputao.{nl}
QUEST_LV_0200_20150317_000162	Guarda Lyle
QUEST_LV_0200_20150317_000163	Eu perdi muitos colegas nas Geadas de Pedra.{nl}N? entendo por que estou aqui para ajudar um Cronomante novato... t? incompetente.{nl}Al? disso, n? sabemos quando aqueles monstros violentos v? atacar aqui.
QUEST_LV_0200_20150317_000164	Voc?pode se livrar dos monstros enquanto estamos protegendo aqui?
QUEST_LV_0200_20150317_000165	?lament?el precisarmos cuidar daquela mulher agora.
QUEST_LV_0200_20150317_000166	Agrade?. Podemos ficar seguros aqui por algum tempo.
QUEST_LV_0200_20150317_000167	H?algumas semanas, nossos companheiros foram atacados enquanto dormiam por Geadas de Pedra.{nl}Ap? o mundo ter ficado assim, n? temos tido muito apoio e precisamos esperar aqui.{nl}Os monstros est? atacando as v?imas petrificadas agora. Malditos sejam aqueles monstros!
QUEST_LV_0200_20150317_000168	Se ainda houver companheiros petrificados, voc?pode ficar por perto e proteg?los por um tempo?
QUEST_LV_0200_20150317_000169	Meu velho amigo Galen ?uma das v?imas. {nl}Por favor, proteja-o.
QUEST_LV_0200_20150317_000170	Agrade? muito. Espero que os refor?s cheguem logo para que ele volte para a fam?ia, mesmo petrificado.
QUEST_LV_0200_20150317_000171	H?v?ios documentos amaldi?ados e objetos impuros na Rua Ruklys.{nl}Tamb? h?v?ios ladr?s atr? dessas coisas.{nl}Entre eles, os Ladr?s Dico costumam atacar os guardas.
QUEST_LV_0200_20150317_000172	Voc?pode derrot?los no distrito militar?{nl}Se conseguir derrot?los, vamos captur?los.
QUEST_LV_0200_20150317_000173	O ?timo que n? capturamos disse que as est?uas de pedra estavam falando com ele.{nl}Faz sentido para voc?
QUEST_LV_0200_20150317_000174	Eu consegui prender v?ios ladr?s com a sua ajuda.{nl}Obrigado.
QUEST_LV_0200_20150317_000175	Guarda Nomabis
QUEST_LV_0200_20150317_000176	H?alguns dias, os Ladr?s Dico levaram nossos suprimentos.{nl}Eles devem ter levado ? Ru?as de Adorao de Drasa. Como n? posso sair daqui, acho que todos n? vamos morrer.
QUEST_LV_0200_20150317_000177	Voc?pode recuperar os suprimentos perdidos?
QUEST_LV_0200_20150317_000178	H?algumas d?adas, os ladr?s atacaram o acampamento de guarda e roubaram os suprimentos em segredo.
QUEST_LV_0200_20150317_000179	Eles nos atra?am at?a frente deles e roubaram os objetos por tr?. N? havia como impedir o roubo.{nl}Eles queriam levar os objetos legalmente, ent? foram enviados para a forca.
QUEST_LV_0200_20150317_000180	O n?ero dos Ladr?s Dico est?aumentando.{nl}Eles est? muito pr?imos de monstros. Eu n? sei se eles treinam esses monstros ou se tem mais alguma coisa que eu n? sei.{nl}Ouvi dizer que os Cavaleiros de Kaliss foram atacados por eles.{nl}Talvez estejam indo atr? de Sabina. Ela s?carrega coisas caras.
QUEST_LV_0200_20150317_000181	Para evitar qualquer tipo de perigo, precisamos atacar antes que eles se movam.{nl}V?at?as Ru?as de Adorao de Drasa e derrote-os.
QUEST_LV_0200_20150317_000182	A cidade que entrou em colapso h?centenas de anos n? tem recursos ou vidas a proteger.{nl}Na verdade, ?como proteger ru?as. Tamb? tem ladr?s l?
QUEST_LV_0200_20150317_000183	Voc?deu uma lio neles. Muito bem.
QUEST_LV_0200_20150317_000184	H?algumas semanas, os colegas que trabalhavam aqui foram atingidos pela Geada de Pedra e se tornaram est?uas de pedra na pra?. {nl}Isso aconteceu porque estavam eliminando armadilhas que os ladr?s colocaram, mas n? conseguiram evitar. {nl}Ainda h?v?ias armadilhas por a? Encontramos uma recentemente. Voc?pode dar um jeito?
QUEST_LV_0200_20150317_000185	O n?ero dos Ladr?s Dico pode ser maior que o n?ero de guardas.
QUEST_LV_0200_20150317_000186	Voc?encontrou monstros fora da ?ea dos ladr?s. Sinto muito por esse trabalho t? perigoso.
QUEST_LV_0200_20150317_000187	Cronomante Sabina
QUEST_LV_0200_20150317_000188	V?ias coisas aconteceram aqui, mas como muito tempo se passou, precisamos de mais informaes para descobrir a verdade.{nl}Voc?pode encontrar os registros na Rota do Port? e fazer c?ias?
QUEST_LV_0200_20150317_000189	Tudo est?sendo destru?o com o passar do tempo.
QUEST_LV_0200_20150317_000190	Obrigada. Isso ?sobre o colapso da fortaleza.{nl}Eu devo investigar melhor para encontrar informaes mais decisivas.
QUEST_LV_0200_20150317_000191	Estou fazendo v?ias investigaes, mas n? consigo descobrir um incidente que ocorreu no passado por causa desses monstros.{nl}Voc?pode dar uma olhada no passado para mim?
QUEST_LV_0200_20150317_000192	Use a lupa do tempo perto da Estrada Pergele. Ent?, voc?poder?ver o passado.
QUEST_LV_0200_20150317_000193	Por favor, use isso com muito cuidado. ?a ?ica restante.
QUEST_LV_0200_20150317_000194	O que diabos aconteceu? N? diga nada sobre o que voc?viu aqui fora.
QUEST_LV_0200_20150317_000195	Para entender melhor as circunst?cias, n? temos outro jeito sen? ir ?Fortaleza da Terra, o quartel-general de Ruklys.{nl}Mas n? podemos entrar, pois os soldados do reino est? bloqueando a entrada.{nl}Eu tenho uma boa soluo...
QUEST_LV_0200_20150317_000196	O portal usado pelos restantes quando tentaram fugir da Fortaleza da Terra.{nl}Existem dez no total, de acordo com o registro.{nl}Quatro est? aqui. Voc?pode verificar se ainda est? ativados?
QUEST_LV_0200_20150317_000197	Por causa do nosso plano, podemos ser enviados ?forca.{nl}Por favor, mantenha segredo.
QUEST_LV_0200_20150317_000198	O portal no distrito militar ?a nossa ?ica esperan?.
QUEST_LV_0200_20150317_000199	Ca?dor Talus
QUEST_LV_0200_20150317_000200	Estou procurando alguns artefatos de Lydia Schaffen, que construiu a Torre das Estrelas.{nl}A famosa arqueira que atirou no peito de Ruklys.
QUEST_LV_0200_20150317_000201	Guarda do Ex?cito Real Retia
QUEST_LV_0200_20150317_000202	Por causa da Geada de Pedra criada pela rebeli? de Ruklys h?algumas centenas de anos, a terra se tornou um deserto.
QUEST_LV_0200_20150317_000203	Vamos permitir que voc?entre, pois os Cavaleiros de Kaliss pediram isso, mas fique ?vista.
QUEST_LV_0200_20150317_000204	Ap? o Medzio Diena, h?4 anos, Benas foi indicado como o comandante-chefe das for?s aqui.{nl}Ele mandou tomar conta da estrada que leva ?Fortaleza da Terra.
QUEST_LV_0200_20150317_000205	Se voc?n? estiver com pressa, derrote os monstros na ?ea A.{nl}Ser?o primeiro passo para contribuir com a Deusa e o Reino...{nl}Claro, eu prometo boas recompensas.
QUEST_LV_0200_20150317_000206	O Comandante Rebelde Ruklys e os cidad?s daqui t? um comportamento perverso,{nl}apesar das selees do grande comerciante, o Premi?Eminente. O resultado ?este lugar.
QUEST_LV_0200_20150317_000207	Isso n? ?ruim. Talvez os guardas possam usar.
QUEST_LV_0200_20150317_000208	Ap? o Medzio Diena, as Geadas de Pedra est? ocorrendo irregularmente.{nl}Por causa disso, perdemos muitos soldados nesse deserto.{nl}N? implantamos os dispositivos de petrificao limitadamente na Pra? da Lamentao. Checamos a frequ?cia das geadas e movimentamos os soldados de acordo com elas.
QUEST_LV_0200_20150317_000209	Verifique os dispositivos de petrificao se quiser ser leal ao Reino e receber sua determinao.
QUEST_LV_0200_20150317_000210	Alguns monstros tentam atacar os soldados que mant? os dispositivos. Tome cuidado.
QUEST_LV_0200_20150317_000211	As Geadas de Pedra devem ser afastadas dos dois locais.{nl}Ouvi dizer que voc??um Revelador bem famoso. {nl}N? ?
