ETC_20150317_000001	$Kepa
ETC_20150317_000112	$Raflésia
ETC_20150317_000113	$Raflésia Verde
ETC_20150317_000114	$Raflésia Negra
ETC_20150317_000115	$As folhas desta planta são mais fortes do que o couro.
ETC_20150317_000116	$Raflésia Vermelha
ETC_20150317_000117	$Ramosca
ETC_20150317_000118	$Mesmo após sofrer mutações, o Ramosca continua a caçar pequenos insetos.
ETC_20150317_000119	$Ramosca Azul
ETC_20150317_000120	$Ramosca Cinza
ETC_20150317_000121	$Ramosca Negra
ETC_20150317_000122	$Ridimed
ETC_20150317_000123	$Ridimed Azul
ETC_20150317_000124	$Mesmo sofrendo mutação a partir de uma erva, atualmente, todo o seu corpo é composto por madeira sólida.
ETC_20150317_000125	$Ridimed Negro
ETC_20150317_000126	$Ridimed Vermelho
ETC_20150317_000127	$Sakmoli
ETC_20150317_000128	$Atacar suas pernas não irá derrubá-lo.
ETC_20150317_000129	$Sakmoli Verde
ETC_20150317_000130	$Sakmoli Laranja
ETC_20150317_000131	$Sakmoli Negro
ETC_20150317_000132	$Rikaus
ETC_20150317_000133	$Aparição Verde
ETC_20150317_000134	$Fantasmas afetados pelos demônios normalmente mudam sua aparência para uma forma semelhante a essa.
ETC_20150317_000135	$Aparição Negra
ETC_20150317_000136	$Espectra
ETC_20150317_000137	$Espectra Negra
ETC_20150317_000138	$Ao contrário de outras criaturas fantasmagóricas, esses monstros normalmente eram almas malignas mesmo quando estavam vivos.
ETC_20150317_000139	$Espectro Gigante 
ETC_20150317_000140	$Espectro do Engano
ETC_20150317_000141	$Rikaus Verde
ETC_20150317_000142	$Espectron
ETC_20150317_000143	$Espectro Monarca
ETC_20150317_000144	$Bola-Espinho
ETC_20150317_000145	$Essa semente flutuante se transmutou, perdendo sua penugem exterior e ganhando um casco sólido e espinhos. No entanto, sua habilidade de flutuar permaneceu intacta.
ETC_20150317_000146	$Bola-Espinho Grande
ETC_20150317_000147	$Espírito da Floresta
ETC_20150317_000148	$Espírito da Floresta Azul
ETC_20150317_000149	$Espírito da Floresta Verde
ETC_20150317_000150	$Homem-Árvore
ETC_20150317_000151	$O fato de que o Homem-Árvore não consegue se mover é uma verdadeira benção.
ETC_20150317_000152	$Homem-Árvore Azul
ETC_20150317_000153	$Homem-Árvore Cinza
ETC_20150317_000154	$Homem-Árvore Vermelho
ETC_20150317_000155	$Gosma Escura
ETC_20150317_000156	$Apesar de as gosmas serem semelhantes em aparência, suas espécies variam em função dos materiais dos quais se originaram.
ETC_20150317_000157	$Rusrat
ETC_20150317_000158	$Esses guardiões foram colocados em vários túmulos para deter invasores, a começar pelo Mausoléu Real de Zachariel, o Grande. Seu nome veio dos ladrões de túmulos que os encontraram.
ETC_20150317_000159	$Madakia
ETC_20150317_000160	$As Madakias foram criadas pelos magos da corte para defendê-los de intrusos mais perigosos que os ladrões de túmulos.
ETC_20150317_000161	$Wheelen
ETC_20150317_000162	$Wheelen é uma das muitas criações mágicas feitas para proteger os túmulos lacrados que atualmente não possuem nenhum supervisor.
ETC_20150317_000163	Wheelen 3
ETC_20150317_000164	$Mauros
ETC_20150317_000165	$A cavalaria de pedra do Mausoléu Real é uma criação mágica feita para resistir até mesmo aos cavaleiros mais fortemente armados.
ETC_20150317_000166	$Trufa
ETC_20150317_000167	$Por razões desconhecidas, esse monstro possui um ódio extremo pelos humanos. Ele prefere atacar humanos a caçar presas mais adequadas ou até mesmo a garantir sua própria sobrevivência.
ETC_20150317_000168	$Trufélia
ETC_20150317_000169	$Espinheiro
ETC_20150317_000170	Ego de Espinheiro
ETC_20150317_000171	$Salgueiro
ETC_20150317_000172	$Salgueirana
ETC_20150317_000173	$Hanaming
ETC_20150317_000174	$As folhas caídas de uma Hanaming morta murcham rapidamente.
ETC_20150317_000175	$Chupacabra
ETC_20150317_000176	$Seus números cresceram após a Grande Calamidade das Plantas; agora, eles tendem a disputar território com os humanos.
ETC_20150317_000177	$Chupacabra Cinza
ETC_20150317_000178	$Chupacabra Cinza Grande
ETC_20150317_000179	$Os Chupacabras se movem de modo bastante furtivo. Por isso, é muito mais perigoso para os humanos se existirem Chupacabras de elite.
ETC_20150317_000180	$Chupacabra Amarelo
ETC_20150317_000181	$Papouleão
ETC_20150317_000182	$Dizem que a voz de um Papouleão consegue até mesmo quebrar garrafas de vidro.
ETC_20150317_000183	$Sauga
ETC_20150317_000184	$Saugas
ETC_20150317_000185	$Escorpião
ETC_20150317_000186	$Tontulia
ETC_20150317_000187	$A Tontulia é uma mutação mais móvel do Tontus.
ETC_20150317_000188	$Tontus
ETC_20150317_000189	$Como a mutação dos cactos os transformou em Tontus, a vida dos habitantes de ambientes desérticos piorou muito.
ETC_20150317_000190	$Vekarabe
ETC_20150317_000191	$Se comparado a outras espécies animais, o Vekarabe não mudou muito de sua forma original quando se transformou em monstro. Entretanto, sua agressividade é definitivamente um novo elemento.
ETC_20150317_000192	$Geppetto
ETC_20150317_000193	$O nome desse monstro combina com a sua aparência, mas de modo nenhum reflete a sua natureza.
ETC_20150317_000194	$Boowook
ETC_20150317_000195	$O Boowook é um dos muitos sistemas de defesa deixados por Zachariel, o Grande, no Mausoléu Real.
ETC_20150317_000196	$Bearkaras
ETC_20150317_000197	$Pino
ETC_20150317_000198	$O Pino recebeu esse nome depois que seus primeiros descobridores notaram que ele possuía semelhanças com os Geppettos.
ETC_20150317_000199	$Besouro
ETC_20150317_000200	$Monstros que simplesmente cresceram em tamanho e agressividade são um colírio para os olhos, pelo menos se comparados a outros terrores deste mundo.
ETC_20150317_000201	$Couve-Flor
ETC_20150317_000202	$Apesar desse monstro imóvel não ser especialmente hostil contra os humanos, ele ainda ataca animais de sangue quente.
ETC_20150317_000203	$Couve-Flor
ETC_20150317_000204	$Vikaras
ETC_20150317_000205	$Embora tenham sido originalmente criados para defender o Mausoléu Real, eles se modificaram para um estado em que atacam todos que entram.
ETC_20150317_000206	$Cocatriz
ETC_20150317_000207	$Se por um lado a Cocatriz normal é bastante pequena, seu sopro e olhar aterrorizantes podem petrificar seus inimigos imediatamente.
ETC_20150317_000208	$Cão Tumular
ETC_20150317_000209	$Zinutekas
ETC_20150317_000210	$Apesar de sua aparência poder ser confundida com a de outros monstros semelhantes, os Zinutekas são construídos artificialmente por mágica.
ETC_20150317_000211	$Pokubu
ETC_20150317_000212	$Apesar de sua aparência, o Pokubu pode ser bastante feroz.
ETC_20150317_000213	$Pokubu Cinza
ETC_20150317_000214	$Zinutena
ETC_20150317_000215	$Lauzinutena
ETC_20150317_000216	$Dente de Leão
ETC_20150317_000217	$Mais assustadores do que o cabelo macio e queratinizado do Dente de Leão são sua vitalidade e agressividade.
ETC_20150317_000218	$Aranha-Vela
ETC_20150317_000219	$Aranha-Vela Azul
ETC_20150317_000220	$Aranha-Vela Amarela
ETC_20150317_000221	$Flor Cadavérica
ETC_20150317_000222	$Flor Cadavérica Azul
ETC_20150317_000223	$Flor Cadavérica Verde
ETC_20150317_000224	$Sapo Alado
ETC_20150317_000225	$Devido ao seu ambiente, este monstro adquiriu uma variedade de formas. Esta aqui evoluiu e desenvolveu asas.
ETC_20150317_000226	$Sapo Alado Verde
ETC_20150317_000227	$Sapo Alado Cinza
ETC_20150317_000228	$Hepática	
ETC_20150317_000229	{memo X}Hepática v2
ETC_20150317_000230	$Bicho-Folha
ETC_20150317_000231	$Apesar de sua aparência, essas criaturas não são ocas.
ETC_20150317_000232	$Bicho-Folha das Catacumbas
ETC_20150317_000233	$Hepática-Rei 
ETC_20150317_000234	$Hepática Infeliz
ETC_20150317_000235	Salamion
ETC_20150317_000236	Salindy
ETC_20150317_000237	Salun
ETC_20150317_000238	$Golem Sepulcral
ETC_20150317_000239	$Originalmente criado com boas intenções, o Golem agora vive possuído por energia maligna.
ETC_20150317_000240	$Drake
ETC_20150317_000241	$Um demônio inferior invocado por seus superiores demoníacos para invadir torres.
ETC_20150317_000242	$Drake Verde
ETC_20150317_000243	Esses demônios inferiores possuem diversos tipos devido à sua população numerosa.
ETC_20150317_000244	$Drake Negro
ETC_20150317_000245	$Essa espécie já foi bastante rara; no entanto, em tempos recentes, seus números cresceram imensamente.
ETC_20150317_000246	$Cocatriz Grande
ETC_20150317_000247	$A Cocatriz Grande é bastante perigosa, pois seu olhar e sopro podem petrificar qualquer oponente. Enfrentar essa criatura não deve ser levado na brincadeira.
ETC_20150317_000248	$Cocat Verde
ETC_20150317_000249	$Cocat Vermelho
ETC_20150317_000250	Sequoia
ETC_20150317_000251	Sequoia Azul
ETC_20150317_000252	Corrompido
ETC_20150317_000253	Corrompido Azul
ETC_20150317_000254	Bicho da Seda
ETC_20150317_000255	O número de Bichos da Seda não cresce mais, mas sua população atual é suficiente para não se preocupar com a extinção.
ETC_20150317_000256	Bicho da Seda
ETC_20150317_000257	Sequoia Incendiária
ETC_20150317_000258	O corpo dela desaparece se você ficar longe dela por muito tempo.
ETC_20150317_000259	Velho Gancho
ETC_20150317_000260	Ele usou seu gancho em um grande monstro para ir para o reino dos Demônios e passou por grandes alterações.
ETC_20150317_000261	Toco d’Árvore
ETC_20150317_000262	Embora as atividades madeireiras tenham diminuído, os monstros que surgiram dos tocos continuam a aparecer. Eles parecem ser formados a partir dos resíduos de plantas.
ETC_20150317_000263	Golem Sepulcral das Catacumbas
ETC_20150317_000264	Toupeira d’Árvore
ETC_20150317_000265	Poiming
ETC_20150317_000266	Raiz de Toupeira d’Árvore
ETC_20150317_000267	Olho de Mirtis
ETC_20150317_000268	Olho da Grande Mirtis
ETC_20150317_000269	Pedra
ETC_20150317_000270	Bomba de Extermínio Vubbe
ETC_20150317_000271	Bomba-Relógio (pontuação na masmorra)
ETC_20150317_000272	Bomba-Relógio
ETC_20150317_000273	Pedra OBB
ETC_20150317_000274	Mago
ETC_20150317_000275	Maga
ETC_20150317_000276	Lacre Danificado
ETC_20150317_000277	Símbolo do Pecado
ETC_20150317_000278	Dispositivo de Controle da Prisão (Temporário)
ETC_20150317_000279	Guarda Desmaiado
ETC_20150317_000280	Mercenário
ETC_20150317_000281	Soldado Fantasma
ETC_20150317_000282	Desertor
ETC_20150317_000283	Soldado Lunático
ETC_20150317_000284	Combatente Amarrado
ETC_20150317_000285	Oficial Mercenário
ETC_20150317_000286	Condottiere
ETC_20150317_000287	Mercenário Blindado
ETC_20150317_000288	Armadura Fantasma
ETC_20150317_000289	Armadura Fantasma Grande
ETC_20150317_000290	Seguidor Fantasma 
ETC_20150317_000291	Garoto Fantasma
ETC_20150317_000292	Madame Fantasma
ETC_20150317_000293	Tio Fantasma
ETC_20150317_000294	Seguidor Fantasma Líder
ETC_20150317_000295	Seguidor Fantasma (Alter Ego)

ETC_20150317_000296	Triclope de Chifres
ETC_20150317_000297	Triclope Alado
ETC_20150317_000298	Seguidor
ETC_20150317_000299	Infantaria Pesada Zumbi
ETC_20150317_000300	Livro Mágico
ETC_20150317_000301	Abóbora Verde
ETC_20150317_000302	Cebola Boamorte
ETC_20150317_000303	Cebola de HP Grande
ETC_20150317_000304	Alvo Âmbar
ETC_20150317_000305	Barreira de Estacas
ETC_20150317_000306	Guardião de Defesa
ETC_20150317_000307	Babauzi
ETC_20150317_000308	Zumbi Nachi
ETC_20150317_000309	Zumbi Frenético
ETC_20150317_000310	Zumbi-Vela
ETC_20150317_000311	Zumbi Atirador
ETC_20150317_000312	Zumbi Cadeirante
ETC_20150317_000313	Arqueiro Vubbe Graduado
ETC_20150317_000314	Desmodus
ETC_20150317_000315	Uma teoria popular é que você tem que ser um demônio para usar esse mensageiro.
ETC_20150317_000316	Tesouro Vubbe
ETC_20150317_000317	Ladrão Vubbe
ETC_20150317_000318	O Vubbe mais comumente encontrado.
ETC_20150317_000319	Ladrão Vubbe Vermelho
ETC_20150317_000320	Com o passar do tempo, esses Vubbes se tornaram mais diversos e reconhecíveis.
ETC_20150317_000321	Ladrão Vubbe Azul
ETC_20150317_000322	Minerador Vubbe
ETC_20150317_000323	É difícil determinar se suas funções de mineração são permanentes, uma vez que pouco se sabe sobre o sistema social dos Vubbes.
ETC_20150317_000324	Minerador Vubbe Vermelho
ETC_20150317_000325	Minerador Vubbe Azul
ETC_20150317_000326	Minerador Vubbe Grande
ETC_20150317_000327	Arqueiro Vubbe
ETC_20150317_000328	Os Arqueiros Vubbe são especializados no uso de armas de longo alcance. Assim, algumas pessoas dizem que os Vubbes possuem papéis específicos.
ETC_20150317_000329	Arqueiro Vubbe Vermelho
ETC_20150317_000330	É possível coletar e usar os arcos e flechas produzidos pelos Vubbes.
ETC_20150317_000331	Boa observação
ETC_20150317_000332	Olho
ETC_20150317_000333	Guarda da Prisão
ETC_20150317_000334	Crente Paladino A1
ETC_20150317_000335	Crente Paladino A2
ETC_20150317_000336	Crente Paladino A3
ETC_20150317_000337	Mina Explosiva
ETC_20150317_000338	Mina Tóxica
ETC_20150317_000339	Minas Antipessoais
ETC_20150317_000340	Mina Infernal
ETC_20150317_000341	Aldeão
ETC_20150317_000342	Estátua do Bebê-Anjo
ETC_20150317_000343	Estátua do Hall
ETC_20150317_000344	Ativador de Monstro Escondido
ETC_20150317_000345	Esculpir Coruja
ETC_20150317_000346	Objeto Transparente
ETC_20150317_000347	Bola de Fogo
ETC_20150317_000348	Casco de Tartaruga Grande Armado
ETC_20150317_000349	Casco de Tartaruga Armado
ETC_20150317_000350	Homem Apóstata (3D)
ETC_20150317_000351	Mulher Apóstata (3D)
ETC_20150317_000352	Modificação
ETC_20150317_000353	Abominação
ETC_20150317_000354	Lutador Vubbe Graduado
ETC_20150317_000355	Mago Monstro
ETC_20150317_000356	Bateria (temporária)
ETC_20150317_000357	Bloco de Gelo
ETC_20150317_000358	Pilar de Gelo
ETC_20150317_000359	Fogueira
ETC_20150317_000360	Mina
ETC_20150317_000361	Escudo
ETC_20150317_000362	Escudo Abaixo de Zero
ETC_20150317_000363	Dado
ETC_20150317_000364	Catapulta
ETC_20150317_000365	Emaranhado de Borboletas
ETC_20150317_000366	Mata de Espinheiros
ETC_20150317_000367	Trave de Espadas
ETC_20150317_000368	Isca
ETC_20150317_000369	Atingir objeto
ETC_20150317_000370	$Árvore de Galho Longo
ETC_20150317_000371	Um monstro silvestre que ataca disparando seus ramos ou golpeando com seus galhos.
ETC_20150317_000372	Pedraruga
ETC_20150317_000373	Venucelos
ETC_20150317_000374	Diz a lenda que este cão de guarda é a criação que Zachariel, o Grande, planejou preservar.
ETC_20150317_000375	Golem Sepulcral
ETC_20150317_000376	Chefe Kepa
ETC_20150317_000377	Poata
ETC_20150317_000378	Natimorto
ETC_20150317_000379	Salamandra
ETC_20150317_000380	Saltimestre
ETC_20150317_000381	Ginklas
ETC_20150317_000382	Baleia de Pedra
ETC_20150317_000383	Tutu
ETC_20150317_000384	Yonazolem
ETC_20150317_000385	Gênio Mestre
ETC_20150317_000386	Ferroada-Rainha
ETC_20150317_000387	Iltiserva
ETC_20150317_000388	Duende Vermelho Gigante
ETC_20150317_000389	Lepus
ETC_20150317_000390	Cogucaria
ETC_20150317_000391	Chafer
ETC_20150317_000392	Gaigalas
ETC_20150317_000393	Tecelã Entronada
ETC_20150317_000394	Castorpião
ETC_20150317_000395	Coguerva Encharcado
ETC_20150317_000396	Sparnas
ETC_20150317_000397	Carregador de Mina
ETC_20150317_000398	Sapo-Raja
ETC_20150317_000399	Tormenta das Trevas
ETC_20150317_000400	Helgasercle
ETC_20150317_000401	Necroventre
ETC_20150317_000402	Lutopus Contorcionista
ETC_20150317_000403	Lança-Cilindros
ETC_20150317_000404	Rocharuga
ETC_20150317_000405	Yekub
ETC_20150317_000406	Ritaserva Venenosa
ETC_20150317_000407	Barrancopéia
ETC_20150317_000408	Bovino das Trevas
ETC_20150317_000409	Carnívora Selvagem
ETC_20150317_000410	Senhor dos Túmulos
ETC_20150317_000411	Achatador
ETC_20150317_000412	Shnayim
ETC_20150317_000413	Melpino
ETC_20150317_000414	Pérola-Raja
ETC_20150317_000415	Ciclope
ETC_20150317_000416	Arconte
ETC_20150317_000417	Carapaça
ETC_20150317_000418	Lobisomem
ETC_20150317_000419	Tiquinho
ETC_20150317_000420	Devido à sua bela aparência, muitas pessoas tentaram ganhar o coração dos Tiquinhos, mas ninguém conseguiu.
ETC_20150317_000421	Ambulo Arbóreo
ETC_20150317_000422	O Ambulo Arbóreo é diferente dos típicos monstros que se originaram no reino demoníaco, já que ele não é uma deformidade entre criaturas e coisas.
ETC_20150317_000423	Golemlet
ETC_20150317_000424	Vubbesqua
ETC_20150317_000425	Castorpio
ETC_20150317_000426	Está bem treinado para obedecer qualquer ordem de seu dono. Infelizmente, seu dono geralmente é um demônio.
ETC_20150317_000427	Mitislampa
ETC_20150317_000428	Spekull
ETC_20150317_000429	Scap
ETC_20150317_000430	Farrapo
ETC_20150317_000431	O Farrapo é um monstro demoníaco que foi gerado a partir do subproduto resultante de quando se transforma um monstro em um fantasma poderoso.
ETC_20150317_000432	Yekubita
ETC_20150317_000433	O Yekub libera o seu brado infame no reino demoníaco, o qual produz vários lacaios que ele espalha por todo o mundo. Yekubita é o nome dado a esses lacaios.
ETC_20150317_000434	Estátua Lascada
ETC_20150317_000435	Um monstro possuído pelo demônio obcecado pelas divinas Estátuas das Deusas.
ETC_20150317_000436	Scap Natimorto
ETC_20150317_000437	Cire
ETC_20150317_000438	Esse monstro não parece transmutar a partir de plantas típicas, mas da flora apodrecida. Contudo, não há evidências que sustentem essa conclusão.
ETC_20150317_000439	Ritasfungo
ETC_20150317_000440	Tisfungo
ETC_20150317_000441	Cogupungo
ETC_20150317_000442	Assombração das Árvores
ETC_20150317_000443	Depois de se transformar em um monstro com um corpo de madeira enrijecida e sem folhas, a Assombração das Árvores substitui sua antiga dieta fotossintética pela caça.
ETC_20150317_000444	Cisto
ETC_20150317_000445	Ammon
ETC_20150317_000446	Existente desde os tempos antigos, Ammon já feriu muitas pessoas e monstros.
ETC_20150317_000447	Operor
ETC_20150317_000448	Ao mesmo tempo em que manteve sua forma original, o Operor desenvolveu um comportamento severamente agressivo e violento.
ETC_20150317_000449	Abelhouro
ETC_20150317_000450	Uma mutação híbrida severa entre abelha e besouro com as qualidades de ambos; age em enxames.
ETC_20150317_000451	Larvarranco
ETC_20150317_000452	Antes de revelar-se uma planta mutante, especulou-se que se tratasse da larva de um monstro.
ETC_20150317_000453	Novilho das Trevas
ETC_20150317_000454	{memo X}Infragalas
ETC_20150317_000455	Carnivopungo
ETC_20150317_000456	Vesper
ETC_20150317_000457	Os animais que vivem no Mausoléu Real foram recentemente deformados pela influência da energia maligna.
ETC_20150317_000458	Karas
ETC_20150317_000459	É uma criatura mágica cujo nome é proveniente dos desejos de uma espécie de golem.
ETC_20150317_000460	Echad
ETC_20150317_000461	Uma criatura mágica criada para proteger o Mausoléu Real Apesar de ser fraco, é forte o bastante para resistir aos poderes das deusas.
ETC_20150317_000462	Shtayim
ETC_20150317_000463	Apesar de sua aparência, esta criatura mágica recebeu a benção das deusas. Pode infligir dano crítico aos demônios.
ETC_20150317_000464	Chumbatumba
ETC_20150317_000465	Muitas criaturas foram colocadas no Mausoléu Real, incluindo o Chumbatumba, para protegê-lo de demônios intrusos.
ETC_20150317_000466	Graztas
ETC_20150317_000467	Abogust
ETC_20150317_000468	Tecelã
ETC_20150317_000469	Há rumores dizendo que a Tecelã está procurando linhas feitas de pedra.
ETC_20150317_000470	Sacroventre
ETC_20150317_000471	Favor não olhar diretamente para o seu capuz.
ETC_20150317_000472	Merme
ETC_20150317_000473	Firme e tóxico, sua habilidade de sugar sangue é única.
ETC_20150317_000474	Infra Salamandra
ETC_20150317_000475	Zolem
ETC_20150317_000476	Diferente dos Golens tradicionais, os Zolens se movem por uma aura misteriosa, não mágica.
ETC_20150317_000477	Invasor Kepa
ETC_20150317_000478	Embora seja Kepa pelo nome, ele na verdade vem do reino demoníaco.
ETC_20150317_000479	Cogucarfungo
ETC_20150317_000480	Duende da Floresta
ETC_20150317_000481	Um duende maligno invocado pelos Vubbes. Às vezes, aparece até mesmo em áreas onde os Vubbes não são encontrados.
ETC_20150317_000482	Duende Vermelho da Floresta 
ETC_20150317_000483	Escravo do Templo
ETC_20150317_000484	Trintrim
ETC_20150317_000485	Florestim
ETC_20150317_000486	Orca de Pedra
ETC_20150317_000487	Um monstro mutante parecido com um golfinho. Suas demais características correspondem às de uma Baleia de Pedra pequena.
ETC_20150317_000488	Perlita-Raja
ETC_20150317_000489	Drape
ETC_20150317_000490	Embora seja um tipo de clira em virtude de sua cauda afiada, esse monstro parece ter se transformado a partir de uma abóbora.
ETC_20150317_000491	{memo X}Infratitular
ETC_20150317_000492	{memo X}Conforme os demônios se tornam mais populosos, novas variedades deles sempre aparecem. O Infratitular é um desses novos tipos de demônio.
ETC_20150317_000493	Coelepus
ETC_20150317_000494	No passado, esses animais eram bastante amigáveis com os humanos, mas agora são mais perigosos do que um urso.
ETC_20150317_000495	Nuerva
ETC_20150317_000496	Pássaro-Pérola
ETC_20150317_000497	Minos
ETC_20150317_000498	Amorita
ETC_20150317_000499	Os Amoritas são dullahans cujas armaduras estão manchadas por energia maligna.
ETC_20150317_000500	Alavanca de Mina
ETC_20150317_000501	Tormenta das Trevas_invocação
ETC_20150317_000502	Cão de Caça
ETC_20150317_000503	É outra cauda pendurada em suas costas?
ETC_20150317_000504	Stoulet
ETC_20150317_000505	Um demônio que respeita os fortes e é cruel com os fracos. Entretanto, sua agressividade torna essa característica trivial.
ETC_20150317_000506	Girino-Raja
